method,description,train_time,predict_time,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,precision,accuracy,error,f1,my_score1,my_score2,my_score3,confusion_matrix,confusion_matrix_percentage,roc_curve
RealBoost,An RealBoost classifier,0.46871352195739746,0.0,106,68,57,19,0.848,0.544,0.6503067484662577,0.696,0.30400000000000005,0.736111111111111,0.970833598823234,1.5704925858273362,inf,"<a href=""./images/RealBoost_confusion_matrix_06e58ed0-7198-11ec-8340-f0421cdfcb2c.png""><img src=""./images/RealBoost_confusion_matrix_06e58ed0-7198-11ec-8340-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/RealBoost_confusion_matrix_percentage_070e1610-7198-11ec-9813-f0421cdfcb2c.png""><img src=""./images/RealBoost_confusion_matrix_percentage_070e1610-7198-11ec-9813-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/RealBoost_roc_06b11852-7198-11ec-8deb-f0421cdfcb2c.png""><img src=""./images/RealBoost_roc_06b11852-7198-11ec-8deb-f0421cdfcb2c.png"" width=200 height=200 /></a>"
BernoulliNBC,Naive Bayes classifier for multivariate Bernoulli models,0.0,0.0,110,51,74,15,0.88,0.408,0.5978260869565217,0.644,0.356,0.7119741100323623,0.8898685401163278,inf,inf,"<a href=""./images/BernoulliNBC_confusion_matrix_09bcba02-7198-11ec-a948-f0421cdfcb2c.png""><img src=""./images/BernoulliNBC_confusion_matrix_09bcba02-7198-11ec-a948-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/BernoulliNBC_confusion_matrix_percentage_09e7a6d0-7198-11ec-8499-f0421cdfcb2c.png""><img src=""./images/BernoulliNBC_confusion_matrix_percentage_09e7a6d0-7198-11ec-8499-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/BernoulliNBC_roc_098d1152-7198-11ec-a053-f0421cdfcb2c.png""><img src=""./images/BernoulliNBC_roc_098d1152-7198-11ec-a053-f0421cdfcb2c.png"" width=200 height=200 /></a>"
GaussianNBC,Gaussian Naive Bayes (GaussianNB),0.0,0.0,102,31,94,23,0.816,0.248,0.5204081632653061,0.532,0.46799999999999997,0.6355140186915887,0.7430730393475388,inf,inf,"<a href=""./images/GaussianNBC_confusion_matrix_0cabbf24-7198-11ec-b49d-f0421cdfcb2c.png""><img src=""./images/GaussianNBC_confusion_matrix_0cabbf24-7198-11ec-b49d-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/GaussianNBC_confusion_matrix_percentage_0cd1e3ee-7198-11ec-bbe4-f0421cdfcb2c.png""><img src=""./images/GaussianNBC_confusion_matrix_percentage_0cd1e3ee-7198-11ec-bbe4-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/GaussianNBC_roc_0c79ae64-7198-11ec-b77c-f0421cdfcb2c.png""><img src=""./images/GaussianNBC_roc_0c79ae64-7198-11ec-b77c-f0421cdfcb2c.png"" width=200 height=200 /></a>"
DiscreteNBC,DiscreteNBC,0.046679019927978516,0.015629053115844727,61,54,71,64,0.488,0.432,0.4621212121212121,0.46,0.54,0.47470817120622566,0.6067513920004193,10.169625924851404,30.37344410359491,"<a href=""./images/DiscreteNBC_confusion_matrix_03a7dcb6-7198-11ec-91a6-f0421cdfcb2c.png""><img src=""./images/DiscreteNBC_confusion_matrix_03a7dcb6-7198-11ec-91a6-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/DiscreteNBC_confusion_matrix_percentage_03d074d2-7198-11ec-87bb-f0421cdfcb2c.png""><img src=""./images/DiscreteNBC_confusion_matrix_percentage_03d074d2-7198-11ec-87bb-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/DiscreteNBC_roc_03736742-7198-11ec-a946-f0421cdfcb2c.png""><img src=""./images/DiscreteNBC_roc_03736742-7198-11ec-a946-f0421cdfcb2c.png"" width=200 height=200 /></a>"
