method,description,train_time,predict_time,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,precision,accuracy,error,f1,my_score1,my_score2,my_score3,confusion_matrix,confusion_matrix_percentage,roc_curve
RealBoost,An RealBoost classifier,8.233052253723145,0.03125143051147461,642,1555,195,233,0.7337142857142858,0.8885714285714286,0.7670250896057348,0.836952380952381,0.163047619047619,0.75,1.310944075493729,0.09109622736341016,23.998901417476617,"<a href=""./images/RealBoost_confusion_matrix_60113cba-7216-11ec-9f18-f0421cdfcb2c.png""><img src=""./images/RealBoost_confusion_matrix_60113cba-7216-11ec-9f18-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/RealBoost_confusion_matrix_percentage_603761be-7216-11ec-9b5e-f0421cdfcb2c.png""><img src=""./images/RealBoost_confusion_matrix_percentage_603761be-7216-11ec-9b5e-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/RealBoost_roc_5fdf2c2e-7216-11ec-aa2a-f0421cdfcb2c.png""><img src=""./images/RealBoost_roc_5fdf2c2e-7216-11ec-aa2a-f0421cdfcb2c.png"" width=200 height=200 /></a>"
BernoulliNBC,Naive Bayes classifier for multivariate Bernoulli models,0.06639385223388672,0.01949024200439453,479,1541,209,396,0.5474285714285714,0.8805714285714286,0.6962209302325582,0.7695238095238095,0.2304761904761905,0.6129238643634037,1.0297207036779998,9.231635817789977,31.447729803724638,"<a href=""./images/BernoulliNBC_confusion_matrix_631b557a-7216-11ec-a37d-f0421cdfcb2c.png""><img src=""./images/BernoulliNBC_confusion_matrix_631b557a-7216-11ec-a37d-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/BernoulliNBC_confusion_matrix_percentage_63436782-7216-11ec-ace8-f0421cdfcb2c.png""><img src=""./images/BernoulliNBC_confusion_matrix_percentage_63436782-7216-11ec-ace8-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/BernoulliNBC_roc_62ecda6c-7216-11ec-bb4a-f0421cdfcb2c.png""><img src=""./images/BernoulliNBC_roc_62ecda6c-7216-11ec-bb4a-f0421cdfcb2c.png"" width=200 height=200 /></a>"
DiscreteNBC,DiscreteNBC,2.957987070083618,1.6454038619995117,131,1533,217,744,0.14971428571428572,0.876,0.3764367816091954,0.6339047619047619,0.36609523809523814,0.214227309893704,0.5838722035304463,0.07242334223173197,0.1301974031064767,"<a href=""./images/DiscreteNBC_confusion_matrix_57e511d0-7216-11ec-8a7d-f0421cdfcb2c.png""><img src=""./images/DiscreteNBC_confusion_matrix_57e511d0-7216-11ec-8a7d-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/DiscreteNBC_confusion_matrix_percentage_580e1510-7216-11ec-aead-f0421cdfcb2c.png""><img src=""./images/DiscreteNBC_confusion_matrix_percentage_580e1510-7216-11ec-aead-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/DiscreteNBC_roc_57b5639e-7216-11ec-ba38-f0421cdfcb2c.png""><img src=""./images/DiscreteNBC_roc_57b5639e-7216-11ec-ba38-f0421cdfcb2c.png"" width=200 height=200 /></a>"
