method,description,train_time,predict_time,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,precision,accuracy,error,f1,my_score1,my_score2,my_score3,confusion_matrix,confusion_matrix_percentage,roc_curve
RealBoost,An RealBoost classifier,0.5205371379852295,0.0,106,68,57,19,0.848,0.544,0.6503067484662577,0.696,0.30400000000000005,0.736111111111111,0.970833598823234,1.4141375463819426,inf,"<a href=""./images/RealBoost_confusion_matrix_81509b0c-7189-11ec-ac72-f0421cdfcb2c.png""><img src=""./images/RealBoost_confusion_matrix_81509b0c-7189-11ec-ac72-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/RealBoost_confusion_matrix_percentage_8179223a-7189-11ec-83fe-f0421cdfcb2c.png""><img src=""./images/RealBoost_confusion_matrix_percentage_8179223a-7189-11ec-83fe-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/RealBoost_roc_81234f34-7189-11ec-b09f-f0421cdfcb2c.png""><img src=""./images/RealBoost_roc_81234f34-7189-11ec-b09f-f0421cdfcb2c.png"" width=200 height=200 /></a>"
BernoulliNBC,Naive Bayes classifier for multivariate Bernoulli models,0.0,0.0,110,51,74,15,0.88,0.408,0.5978260869565217,0.644,0.356,0.7119741100323623,0.8898685401163278,inf,inf,"<a href=""./images/BernoulliNBC_confusion_matrix_8432e9f0-7189-11ec-8533-f0421cdfcb2c.png""><img src=""./images/BernoulliNBC_confusion_matrix_8432e9f0-7189-11ec-8533-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/BernoulliNBC_confusion_matrix_percentage_84590ee2-7189-11ec-aed4-f0421cdfcb2c.png""><img src=""./images/BernoulliNBC_confusion_matrix_percentage_84590ee2-7189-11ec-aed4-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/BernoulliNBC_roc_84080062-7189-11ec-8ecb-f0421cdfcb2c.png""><img src=""./images/BernoulliNBC_roc_84080062-7189-11ec-8ecb-f0421cdfcb2c.png"" width=200 height=200 /></a>"
DiscreteNBC,DiscreteNBC,0.03124856948852539,0.03124690055847168,61,54,71,64,0.488,0.432,0.4621212121212121,0.46,0.54,0.47470817120622566,0.6067513920004193,15.191356883730007,15.19216827019096,"<a href=""./images/DiscreteNBC_confusion_matrix_7e0a1282-7189-11ec-864b-f0421cdfcb2c.png""><img src=""./images/DiscreteNBC_confusion_matrix_7e0a1282-7189-11ec-864b-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/DiscreteNBC_confusion_matrix_percentage_7e32d908-7189-11ec-9898-f0421cdfcb2c.png""><img src=""./images/DiscreteNBC_confusion_matrix_percentage_7e32d908-7189-11ec-9898-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/DiscreteNBC_roc_7ddf28ca-7189-11ec-b43b-f0421cdfcb2c.png""><img src=""./images/DiscreteNBC_roc_7ddf28ca-7189-11ec-b43b-f0421cdfcb2c.png"" width=200 height=200 /></a>"
