method,description,train_time,predict_time,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,precision,accuracy,error,f1,my_score1,my_score2,my_score3,confusion_matrix,confusion_matrix_percentage,roc_curve
DenseNet169,,17241.467682123184,73.74551272392273,216,241,9,34,0.864,0.964,0.96,0.914,0.08599999999999997,0.9094736842105263,1.9877275397796823,5.27492033148381e-05,0.012332596935291183,"<a href=""./images/DenseNet169_confusion_matrix_8bcd703d-5264-11ec-8802-34e6adc36e41.png""><img src=""./images/DenseNet169_confusion_matrix_8bcd703d-5264-11ec-8802-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/DenseNet169_confusion_matrix_percentage_8be85962-5264-11ec-867c-34e6adc36e41.png""><img src=""./images/DenseNet169_confusion_matrix_percentage_8be85962-5264-11ec-867c-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/DenseNet169_roc_8bf88bef-5264-11ec-8388-34e6adc36e41.png""><img src=""./images/DenseNet169_roc_8bf88bef-5264-11ec-8388-34e6adc36e41.png"" width=200 height=200 /></a>"
DenseNet121,,17428.427391052246,61.50560808181763,219,237,13,31,0.876,0.948,0.9439655172413793,0.912,0.08799999999999997,0.9087136929460581,1.9587170345608038,5.2139741157173574e-05,0.01477448514511465,"<a href=""./images/DenseNet121_confusion_matrix_34618ccc-523c-11ec-97ab-34e6adc36e41.png""><img src=""./images/DenseNet121_confusion_matrix_34618ccc-523c-11ec-97ab-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/DenseNet121_confusion_matrix_percentage_3483f48d-523c-11ec-b1f3-34e6adc36e41.png""><img src=""./images/DenseNet121_confusion_matrix_percentage_3483f48d-523c-11ec-b1f3-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/DenseNet121_roc_34962042-523c-11ec-bc9b-34e6adc36e41.png""><img src=""./images/DenseNet121_roc_34962042-523c-11ec-bc9b-34e6adc36e41.png"" width=200 height=200 /></a>"
