method,description,train_time,predict_time,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,precision,accuracy,error,f1,my_score1,my_score2,my_score3,confusion_matrix,confusion_matrix_percentage,roc_curve
EfficientNetB0,,8337.243620634079,29.275981903076172,239,229,21,11,0.956,0.916,0.9192307692307692,0.936,0.06399999999999995,0.9372549019607843,2.4038505279034705,0.0001124178379100193,0.032014465136088306,"<a href=""./images/EfficientNetB0_confusion_matrix_a8f3c5b4-5348-11ec-910e-34e6adc36e41.png""><img src=""./images/EfficientNetB0_confusion_matrix_a8f3c5b4-5348-11ec-910e-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/EfficientNetB0_confusion_matrix_percentage_a90ca137-5348-11ec-b604-34e6adc36e41.png""><img src=""./images/EfficientNetB0_confusion_matrix_percentage_a90ca137-5348-11ec-b604-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/EfficientNetB0_roc_a91be45e-5348-11ec-86bc-34e6adc36e41.png""><img src=""./images/EfficientNetB0_roc_a91be45e-5348-11ec-86bc-34e6adc36e41.png"" width=200 height=200 /></a>"
RealBoost,An RealBoost classifier,14373.761945962906,1.20703125,207,172,78,43,0.828,0.688,0.7263157894736842,0.758,0.242,0.7738317757009345,1.1001706072937036,5.3836412388774616e-05,0.6411033481535251,"<a href=""./images/RealBoost_confusion_matrix_28ccc05d-5335-11ec-89de-34e6adc36e41.png""><img src=""./images/RealBoost_confusion_matrix_28ccc05d-5335-11ec-89de-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/RealBoost_confusion_matrix_percentage_28ebb740-5335-11ec-9d7b-34e6adc36e41.png""><img src=""./images/RealBoost_confusion_matrix_percentage_28ebb740-5335-11ec-9d7b-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/RealBoost_roc_28919fc9-5335-11ec-b384-34e6adc36e41.png""><img src=""./images/RealBoost_roc_28919fc9-5335-11ec-b384-34e6adc36e41.png"" width=200 height=200 /></a>"
DiscreteNBC,DiscreteNBC,1502.2074599266052,276.76124930381775,225,106,144,25,0.9,0.424,0.6097560975609756,0.662,0.33799999999999997,0.7269789983844912,0.9189230971140238,0.0004839404794461678,0.002626736944616267,"<a href=""./images/DiscreteNBC_confusion_matrix_acc19b86-5313-11ec-94fd-34e6adc36e41.png""><img src=""./images/DiscreteNBC_confusion_matrix_acc19b86-5313-11ec-94fd-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/DiscreteNBC_confusion_matrix_percentage_ace2be24-5313-11ec-b129-34e6adc36e41.png""><img src=""./images/DiscreteNBC_confusion_matrix_percentage_ace2be24-5313-11ec-b129-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/DiscreteNBC_roc_ac753d86-5313-11ec-8ea0-34e6adc36e41.png""><img src=""./images/DiscreteNBC_roc_ac753d86-5313-11ec-8ea0-34e6adc36e41.png"" width=200 height=200 /></a>"
