method,description,train_time,predict_time,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,precision,accuracy,error,f1,my_score1,my_score2,my_score3,confusion_matrix,confusion_matrix_percentage,roc_curve
KNeighborsClassifier,Classifier implementing the k-nearest neighbors vote,0.0,0.015665054321289062,115,52,73,10,0.92,0.416,0.6117021276595744,0.668,0.33199999999999996,0.7348242811501596,0.9301871726181457,inf,46.90850514010165,"<a href=""./images/KNeighborsClassifier_confusion_matrix_eea1b3a2-71fe-11ec-bf09-f0421cdfcb2c.png""><img src=""./images/KNeighborsClassifier_confusion_matrix_eea1b3a2-71fe-11ec-bf09-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/KNeighborsClassifier_confusion_matrix_percentage_eed16062-71fe-11ec-b9f8-f0421cdfcb2c.png""><img src=""./images/KNeighborsClassifier_confusion_matrix_percentage_eed16062-71fe-11ec-b9f8-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/KNeighborsClassifier_roc_ee5c996c-71fe-11ec-8303-f0421cdfcb2c.png""><img src=""./images/KNeighborsClassifier_roc_ee5c996c-71fe-11ec-8303-f0421cdfcb2c.png"" width=200 height=200 /></a>"
RealBoost,An RealBoost classifier,112.43751311302185,0.015626192092895508,104,60,65,21,0.832,0.48,0.6153846153846154,0.656,0.344,0.707482993197279,0.9027776325557058,0.00629223266870123,45.27545732136098,"<a href=""./images/RealBoost_confusion_matrix_e57c6f18-71fe-11ec-8f64-f0421cdfcb2c.png""><img src=""./images/RealBoost_confusion_matrix_e57c6f18-71fe-11ec-8f64-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/RealBoost_confusion_matrix_percentage_e5a9bc18-71fe-11ec-9f13-f0421cdfcb2c.png""><img src=""./images/RealBoost_confusion_matrix_percentage_e5a9bc18-71fe-11ec-9f13-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/RealBoost_roc_e55183fe-71fe-11ec-b1ed-f0421cdfcb2c.png""><img src=""./images/RealBoost_roc_e55183fe-71fe-11ec-b1ed-f0421cdfcb2c.png"" width=200 height=200 /></a>"
BernoulliNBC,Naive Bayes classifier for multivariate Bernoulli models,0.0,0.015639305114746094,103,60,65,22,0.824,0.48,0.6130952380952381,0.652,0.348,0.7030716723549488,0.8958016818260788,inf,44.95542910612006,"<a href=""./images/BernoulliNBC_confusion_matrix_e89d81b6-71fe-11ec-b97a-f0421cdfcb2c.png""><img src=""./images/BernoulliNBC_confusion_matrix_e89d81b6-71fe-11ec-b97a-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/BernoulliNBC_confusion_matrix_percentage_e8c3a97a-71fe-11ec-a273-f0421cdfcb2c.png""><img src=""./images/BernoulliNBC_confusion_matrix_percentage_e8c3a97a-71fe-11ec-a273-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/BernoulliNBC_roc_e86b711c-71fe-11ec-ba5e-f0421cdfcb2c.png""><img src=""./images/BernoulliNBC_roc_e86b711c-71fe-11ec-ba5e-f0421cdfcb2c.png"" width=200 height=200 /></a>"
GaussianNBC,Gaussian Naive Bayes (GaussianNB),0.0,0.0,114,23,102,11,0.912,0.184,0.5277777777777778,0.548,0.45199999999999996,0.6686217008797654,0.7727275662707579,inf,inf,"<a href=""./images/GaussianNBC_confusion_matrix_eb914dd2-71fe-11ec-beb8-f0421cdfcb2c.png""><img src=""./images/GaussianNBC_confusion_matrix_eb914dd2-71fe-11ec-beb8-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/GaussianNBC_confusion_matrix_percentage_ebbc3768-71fe-11ec-8a15-f0421cdfcb2c.png""><img src=""./images/GaussianNBC_confusion_matrix_percentage_ebbc3768-71fe-11ec-8a15-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/GaussianNBC_roc_eb5cdaec-71fe-11ec-97d6-f0421cdfcb2c.png""><img src=""./images/GaussianNBC_roc_eb5cdaec-71fe-11ec-97d6-f0421cdfcb2c.png"" width=200 height=200 /></a>"
DiscreteNBC,DiscreteNBC,0.32810544967651367,0.20307421684265137,72,68,57,53,0.576,0.544,0.5581395348837209,0.56,0.43999999999999995,0.5669291338582677,0.7345512476902332,1.7278869778518324,2.791733695555961,"<a href=""./images/DiscreteNBC_confusion_matrix_9f9e43d8-71fe-11ec-a437-f0421cdfcb2c.png""><img src=""./images/DiscreteNBC_confusion_matrix_9f9e43d8-71fe-11ec-a437-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/DiscreteNBC_confusion_matrix_percentage_9fc47048-71fe-11ec-8752-f0421cdfcb2c.png""><img src=""./images/DiscreteNBC_confusion_matrix_percentage_9fc47048-71fe-11ec-8752-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/DiscreteNBC_roc_9f735878-71fe-11ec-a80d-f0421cdfcb2c.png""><img src=""./images/DiscreteNBC_roc_9f735878-71fe-11ec-a80d-f0421cdfcb2c.png"" width=200 height=200 /></a>"
