method,description,train_time,predict_time,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,precision,accuracy,error,f1,my_score1,my_score2,my_score3,confusion_matrix,confusion_matrix_percentage,roc_curve
RealBoost,An RealBoost classifier,225.4998917579651,0.0,109,53,72,16,0.872,0.424,0.6022099447513812,0.648,0.352,0.7124183006535947,0.8949210538928447,0.003159284446212736,inf,"<a href=""./images/RealBoost_confusion_matrix_f2dca6ca-71ff-11ec-a148-f0421cdfcb2c.png""><img src=""./images/RealBoost_confusion_matrix_f2dca6ca-71ff-11ec-a148-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/RealBoost_confusion_matrix_percentage_f302c9fa-71ff-11ec-bc2b-f0421cdfcb2c.png""><img src=""./images/RealBoost_confusion_matrix_percentage_f302c9fa-71ff-11ec-bc2b-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/RealBoost_roc_f2af5f22-71ff-11ec-9363-f0421cdfcb2c.png""><img src=""./images/RealBoost_roc_f2af5f22-71ff-11ec-9363-f0421cdfcb2c.png"" width=200 height=200 /></a>"
BernoulliNBC,Naive Bayes classifier for multivariate Bernoulli models,0.0,0.01562786102294922,93,68,57,32,0.744,0.544,0.62,0.644,0.356,0.6763636363636364,0.8742806945863126,inf,43.27934804196231,"<a href=""./images/BernoulliNBC_confusion_matrix_f65f780a-71ff-11ec-9a67-f0421cdfcb2c.png""><img src=""./images/BernoulliNBC_confusion_matrix_f65f780a-71ff-11ec-9a67-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/BernoulliNBC_confusion_matrix_percentage_f687fd58-71ff-11ec-a54a-f0421cdfcb2c.png""><img src=""./images/BernoulliNBC_confusion_matrix_percentage_f687fd58-71ff-11ec-a54a-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/BernoulliNBC_roc_f6348e9e-71ff-11ec-bfe2-f0421cdfcb2c.png""><img src=""./images/BernoulliNBC_roc_f6348e9e-71ff-11ec-bfe2-f0421cdfcb2c.png"" width=200 height=200 /></a>"
GaussianNBC,Gaussian Naive Bayes (GaussianNB),0.015624761581420898,0.0,107,27,98,18,0.856,0.216,0.5219512195121951,0.536,0.46399999999999997,0.6484848484848486,0.7527547875729542,41.50366359867848,inf,"<a href=""./images/GaussianNBC_confusion_matrix_f968b536-71ff-11ec-b2b2-f0421cdfcb2c.png""><img src=""./images/GaussianNBC_confusion_matrix_f968b536-71ff-11ec-b2b2-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/GaussianNBC_confusion_matrix_percentage_f9914718-71ff-11ec-9cd8-f0421cdfcb2c.png""><img src=""./images/GaussianNBC_confusion_matrix_percentage_f9914718-71ff-11ec-9cd8-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/GaussianNBC_roc_f9390374-71ff-11ec-ab7a-f0421cdfcb2c.png""><img src=""./images/GaussianNBC_roc_f9390374-71ff-11ec-ab7a-f0421cdfcb2c.png"" width=200 height=200 /></a>"
DiscreteNBC,DiscreteNBC,0.6718652248382568,0.31247830390930176,80,55,70,45,0.64,0.44,0.5333333333333333,0.54,0.45999999999999996,0.5818181818181818,0.7236337285902504,0.8659745441628524,1.8619474521567332,"<a href=""./images/DiscreteNBC_confusion_matrix_66c814b4-71ff-11ec-8c5b-f0421cdfcb2c.png""><img src=""./images/DiscreteNBC_confusion_matrix_66c814b4-71ff-11ec-8c5b-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/DiscreteNBC_confusion_matrix_percentage_66f306e8-71ff-11ec-9cba-f0421cdfcb2c.png""><img src=""./images/DiscreteNBC_confusion_matrix_percentage_66f306e8-71ff-11ec-9cba-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/DiscreteNBC_roc_669d35b4-71ff-11ec-8894-f0421cdfcb2c.png""><img src=""./images/DiscreteNBC_roc_669d35b4-71ff-11ec-8894-f0421cdfcb2c.png"" width=200 height=200 /></a>"
