method,description,train_time,predict_time,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,precision,accuracy,error,f1,my_score1,my_score2,my_score3,confusion_matrix,confusion_matrix_percentage,roc_curve
GradientBoostingClassifier,An GradientBoost classifier,12406.206746816635,0.7757887840270996,218,211,39,32,0.872,0.844,0.8482490272373541,0.858,0.14200000000000002,0.8599605522682445,1.4764305309705337,6.931696124513689e-05,1.1084983051755548,"<a href=""./images/13e60956-5107-11ec-8b6e-34e6adc36e41.png""><img src=""./images/13e60956-5107-11ec-8b6e-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/14066367-5107-11ec-bdd1-34e6adc36e41.png""><img src=""./images/14066367-5107-11ec-bdd1-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/13bb988e-5107-11ec-bda8-34e6adc36e41.png""><img src=""./images/13bb988e-5107-11ec-bda8-34e6adc36e41.png"" width=200 height=200 /></a>"
EfficientNetB1,,226.4276990890503,42.06025409698486,200,221,29,50,0.8,0.884,0.8733624454148472,0.842,0.15800000000000003,0.8350730688935283,1.390384171393312,0.003688034071154465,0.019854208844482264,"<a href=""./images/e17cc279-510b-11ec-a7d0-34e6adc36e41.png""><img src=""./images/e17cc279-510b-11ec-a7d0-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/e19be033-510b-11ec-a105-34e6adc36e41.png""><img src=""./images/e19be033-510b-11ec-a105-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/e1ae55bb-510b-11ec-adc8-34e6adc36e41.png""><img src=""./images/e1ae55bb-510b-11ec-adc8-34e6adc36e41.png"" width=200 height=200 /></a>"
EfficientNetB4,,433.7749168872833,79.35364723205566,228,192,58,22,0.912,0.768,0.7972027972027972,0.84,0.16000000000000003,0.8507462686567164,1.3820934140486378,0.001961262017549492,0.010720947282597608,"<a href=""./images/b60f5128-510e-11ec-bac4-34e6adc36e41.png""><img src=""./images/b60f5128-510e-11ec-bac4-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/b6309603-510e-11ec-80d3-34e6adc36e41.png""><img src=""./images/b6309603-510e-11ec-80d3-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/b644aca2-510e-11ec-bbff-34e6adc36e41.png""><img src=""./images/b644aca2-510e-11ec-bbff-34e6adc36e41.png"" width=200 height=200 /></a>"
EfficientNetB2,,240.75616216659546,44.26878261566162,226,192,58,24,0.904,0.768,0.795774647887324,0.836,0.16400000000000003,0.8464419475655431,1.3633545361324795,0.003515764414702012,0.019120515576727986,"<a href=""./images/9268480b-510c-11ec-9457-34e6adc36e41.png""><img src=""./images/9268480b-510c-11ec-9457-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/92895d8f-510c-11ec-a465-34e6adc36e41.png""><img src=""./images/92895d8f-510c-11ec-a465-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/929c7148-510c-11ec-b5ed-34e6adc36e41.png""><img src=""./images/929c7148-510c-11ec-b5ed-34e6adc36e41.png"" width=200 height=200 /></a>"
EfficientNetB7,,1525.994723558426,251.52960920333862,184,233,17,66,0.736,0.932,0.9154228855721394,0.834,0.16600000000000004,0.8159645232815964,1.352134188752229,0.0005347099244084349,0.003244009823996363,"<a href=""./images/f9f0d383-5117-11ec-a861-34e6adc36e41.png""><img src=""./images/f9f0d383-5117-11ec-a861-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/fa300f67-5117-11ec-9ced-34e6adc36e41.png""><img src=""./images/fa300f67-5117-11ec-9ced-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/fa54f34c-5117-11ec-8825-34e6adc36e41.png""><img src=""./images/fa54f34c-5117-11ec-8825-34e6adc36e41.png"" width=200 height=200 /></a>"
EfficientNetB0,,160.69119358062744,31.371495485305786,220,196,54,30,0.88,0.784,0.8029197080291971,0.832,0.16800000000000004,0.8396946564885496,1.3449773942852896,0.005225517576775167,0.02676616602105747,"<a href=""./images/3c3d3eac-510b-11ec-ab7a-34e6adc36e41.png""><img src=""./images/3c3d3eac-510b-11ec-ab7a-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/3c5aa5bd-510b-11ec-a478-34e6adc36e41.png""><img src=""./images/3c5aa5bd-510b-11ec-a478-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/3c6d47a6-510b-11ec-a276-34e6adc36e41.png""><img src=""./images/3c6d47a6-510b-11ec-a276-34e6adc36e41.png"" width=200 height=200 /></a>"
EfficientNetB6,,1160.8096449375153,146.94618391990662,206,210,40,44,0.824,0.84,0.8373983739837398,0.832,0.16800000000000004,0.8306451612903225,1.3439005132816304,0.0007155739659063868,0.005652716791496047,"<a href=""./images/caabe180-5113-11ec-bc64-34e6adc36e41.png""><img src=""./images/caabe180-5113-11ec-bc64-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/cacba8df-5113-11ec-a496-34e6adc36e41.png""><img src=""./images/cacba8df-5113-11ec-a496-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/cade265d-5113-11ec-a203-34e6adc36e41.png""><img src=""./images/cade265d-5113-11ec-a203-34e6adc36e41.png"" width=200 height=200 /></a>"
AdaBoostClassifier,An AdaBoost classifier,2191.9708983898163,25.354084253311157,212,199,51,38,0.848,0.796,0.8060836501901141,0.822,0.17800000000000005,0.8265107212475633,1.3022614784517819,0.0003770628167804161,0.032598721097159084,"<a href=""./images/225b029b-50ea-11ec-8da0-34e6adc36e41.png""><img src=""./images/225b029b-50ea-11ec-8da0-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/227b5148-50ea-11ec-8b55-34e6adc36e41.png""><img src=""./images/227b5148-50ea-11ec-8b55-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/222c5d6e-50ea-11ec-9e41-34e6adc36e41.png""><img src=""./images/222c5d6e-50ea-11ec-9e41-34e6adc36e41.png"" width=200 height=200 /></a>"
EfficientNetB5,,612.223023891449,189.56523990631104,212,197,53,38,0.848,0.788,0.8,0.818,0.18200000000000005,0.8233009708737864,1.2865010348874426,0.0013447729646635486,0.004343100936019109,"<a href=""./images/9c42de0e-5110-11ec-a40c-34e6adc36e41.png""><img src=""./images/9c42de0e-5110-11ec-a40c-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/9c99c8e5-5110-11ec-87fb-34e6adc36e41.png""><img src=""./images/9c99c8e5-5110-11ec-87fb-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/9cc7a54f-5110-11ec-b8b0-34e6adc36e41.png""><img src=""./images/9cc7a54f-5110-11ec-b8b0-34e6adc36e41.png"" width=200 height=200 /></a>"
NonLinearSVM,Non Linear Support Vector Classification,240.091956615448,177.62564849853516,218,190,60,32,0.872,0.76,0.7841726618705036,0.816,0.18400000000000005,0.8257575757575759,1.2795743149354033,0.0034393387741855114,0.00464886452343838,"<a href=""./images/e72ceb6e-50e4-11ec-bbcf-34e6adc36e41.png""><img src=""./images/e72ceb6e-50e4-11ec-bbcf-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/e74c4a3e-50e4-11ec-b9a6-34e6adc36e41.png""><img src=""./images/e74c4a3e-50e4-11ec-b9a6-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/e6fb8ba4-50e4-11ec-978a-34e6adc36e41.png""><img src=""./images/e6fb8ba4-50e4-11ec-978a-34e6adc36e41.png"" width=200 height=200 /></a>"
LinearSVM,Linear Support Vector Classification,650.0855538845062,1.2924134731292725,205,200,50,45,0.82,0.8,0.803921568627451,0.81,0.18999999999999995,0.8118811881188118,1.2556485403958355,0.0012488836019621044,0.6281899755757221,"<a href=""./images/82493cd2-50e3-11ec-aace-34e6adc36e41.png""><img src=""./images/82493cd2-50e3-11ec-aace-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/826c1d77-50e3-11ec-971c-34e6adc36e41.png""><img src=""./images/826c1d77-50e3-11ec-971c-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/820f03d2-50e3-11ec-88bd-34e6adc36e41.png""><img src=""./images/820f03d2-50e3-11ec-88bd-34e6adc36e41.png"" width=200 height=200 /></a>"
EfficientNetB3,,322.3772683143616,60.30674457550049,235,167,83,15,0.94,0.668,0.7389937106918238,0.804,0.19599999999999995,0.8274647887323943,1.239035847068033,0.002566759105128665,0.013720932783835764,"<a href=""./images/7cdcf820-510d-11ec-9f1a-34e6adc36e41.png""><img src=""./images/7cdcf820-510d-11ec-9f1a-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/7cfdc811-510d-11ec-9f6d-34e6adc36e41.png""><img src=""./images/7cfdc811-510d-11ec-9f6d-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/7d10a600-510d-11ec-801c-34e6adc36e41.png""><img src=""./images/7d10a600-510d-11ec-801c-34e6adc36e41.png"" width=200 height=200 /></a>"
KNeighborsClassifier,Classifier implementing the k-nearest neighbors vote,0.3274211883544922,12.1827712059021,214,186,64,36,0.856,0.744,0.7697841726618705,0.8,0.19999999999999996,0.8106060606060607,1.2222814475692174,2.4757287843217837,0.06653708314027536,"<a href=""./images/fb29cabd-50e1-11ec-b9aa-34e6adc36e41.png""><img src=""./images/fb29cabd-50e1-11ec-b9aa-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/fb483751-50e1-11ec-988f-34e6adc36e41.png""><img src=""./images/fb483751-50e1-11ec-988f-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/fb03dde8-50e1-11ec-a95e-34e6adc36e41.png""><img src=""./images/fb03dde8-50e1-11ec-a95e-34e6adc36e41.png"" width=200 height=200 /></a>"
