method,description,train_time,predict_time,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,precision,accuracy,error,f1,my_score,confusion_matrix,confusion_matrix_percentage,roc_curve
MobileNetV2,,157.73503017425537,34.474013328552246,430,440,60,70,0.86,0.88,0.8775510204081632,0.87,0.13,0.8686868686868686,1.5523293056150198,"<a href=""./images/4617d6c1-4e9f-11ec-ba27-68f728e1134a.png""><img src=""./images/4617d6c1-4e9f-11ec-ba27-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/4634e2e1-4e9f-11ec-904f-68f728e1134a.png""><img src=""./images/4634e2e1-4e9f-11ec-904f-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/4648208b-4e9f-11ec-8ac6-68f728e1134a.png""><img src=""./images/4648208b-4e9f-11ec-8ac6-68f728e1134a.png"" width=200 height=200 /></a>"
MobileNetV3Small,,61.06401181221008,14.656091451644897,478,390,110,22,0.956,0.78,0.8129251700680272,0.868,0.132,0.8786764705882354,1.538606509876678,"<a href=""./images/e3e7cc8f-4e9f-11ec-acae-68f728e1134a.png""><img src=""./images/e3e7cc8f-4e9f-11ec-acae-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/e4010a0e-4e9f-11ec-932e-68f728e1134a.png""><img src=""./images/e4010a0e-4e9f-11ec-932e-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/e4116296-4e9f-11ec-b82b-68f728e1134a.png""><img src=""./images/e4116296-4e9f-11ec-b82b-68f728e1134a.png"" width=200 height=200 /></a>"
DenseNet121,,726.3015434741974,134.3891680240631,431,426,74,69,0.862,0.852,0.8534653465346534,0.857,0.14300000000000002,0.8577114427860696,1.4706029553471995,"<a href=""./images/a0c82664-4e84-11ec-8a17-68f728e1134a.png""><img src=""./images/a0c82664-4e84-11ec-8a17-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/a0e4f517-4e84-11ec-a2ef-68f728e1134a.png""><img src=""./images/a0e4f517-4e84-11ec-a2ef-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/a0f61b20-4e84-11ec-a236-68f728e1134a.png""><img src=""./images/a0f61b20-4e84-11ec-a236-68f728e1134a.png"" width=200 height=200 /></a>"
VGG16,,1480.071132183075,296.54847478866577,434,416,84,66,0.868,0.832,0.8378378378378378,0.85,0.15000000000000002,0.8526522593320235,1.4317765801164621,"<a href=""./images/f84ff67b-4eb3-11ec-9f37-68f728e1134a.png""><img src=""./images/f84ff67b-4eb3-11ec-9f37-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/f86d51b0-4eb3-11ec-99e7-68f728e1134a.png""><img src=""./images/f86d51b0-4eb3-11ec-99e7-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/f87ee3bc-4eb3-11ec-abe4-68f728e1134a.png""><img src=""./images/f87ee3bc-4eb3-11ec-abe4-68f728e1134a.png"" width=200 height=200 /></a>"
LinearSVM,Linear Support Vector Classification,1897.5055294036865,3.722118616104126,425,424,76,75,0.85,0.848,0.8483033932135728,0.849,0.15100000000000002,0.8491508491508492,1.426357419525921,"<a href=""./images/24102447-4e48-11ec-947b-68f728e1134a.png""><img src=""./images/24102447-4e48-11ec-947b-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/242f922f-4e48-11ec-be05-68f728e1134a.png""><img src=""./images/242f922f-4e48-11ec-be05-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/23c90a0c-4e48-11ec-907d-68f728e1134a.png""><img src=""./images/23c90a0c-4e48-11ec-907d-68f728e1134a.png"" width=200 height=200 /></a>"
MobileNet,,155.54264903068542,33.55974268913269,430,404,96,70,0.86,0.808,0.8174904942965779,0.834,0.16600000000000004,0.8382066276803117,1.3534620018240304,"<a href=""./images/d221e505-4e9e-11ec-b912-68f728e1134a.png""><img src=""./images/d221e505-4e9e-11ec-b912-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/d23f159c-4e9e-11ec-89b2-68f728e1134a.png""><img src=""./images/d23f159c-4e9e-11ec-89b2-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/d250ca96-4e9e-11ec-b96f-68f728e1134a.png""><img src=""./images/d250ca96-4e9e-11ec-b96f-68f728e1134a.png"" width=200 height=200 /></a>"
VGG19,,1847.455191373825,371.0826587677002,374,459,41,126,0.748,0.918,0.9012048192771084,0.833,0.16700000000000004,0.8174863387978141,1.3475660465361985,"<a href=""./images/23db0fe2-4eb9-11ec-931a-68f728e1134a.png""><img src=""./images/23db0fe2-4eb9-11ec-931a-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/23f9f51e-4eb9-11ec-a702-68f728e1134a.png""><img src=""./images/23f9f51e-4eb9-11ec-a702-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/240d8db2-4eb9-11ec-bcf7-68f728e1134a.png""><img src=""./images/240d8db2-4eb9-11ec-bcf7-68f728e1134a.png"" width=200 height=200 /></a>"
DenseNet201,,895.7767827510834,182.8991940021515,494,322,178,6,0.988,0.644,0.7351190476190477,0.816,0.18400000000000005,0.8430034129692834,1.2832918721161115,"<a href=""./images/231cb682-4e89-11ec-be78-68f728e1134a.png""><img src=""./images/231cb682-4e89-11ec-be78-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/2335dd63-4e89-11ec-bbb3-68f728e1134a.png""><img src=""./images/2335dd63-4e89-11ec-bbb3-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/2345a528-4e89-11ec-b335-68f728e1134a.png""><img src=""./images/2345a528-4e89-11ec-b335-68f728e1134a.png"" width=200 height=200 /></a>"
DiscreteNBC,DiscreteNBC,950.3944375514984,527.6703860759735,389,424,76,111,0.778,0.848,0.8365591397849462,0.813,0.18700000000000006,0.8062176165803109,1.2654240805574197,"<a href=""./images/469df51c-4e43-11ec-a7de-68f728e1134a.png""><img src=""./images/469df51c-4e43-11ec-a7de-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/46bb462b-4e43-11ec-8647-68f728e1134a.png""><img src=""./images/46bb462b-4e43-11ec-8647-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/46592de5-4e43-11ec-bb3f-68f728e1134a.png""><img src=""./images/46592de5-4e43-11ec-bb3f-68f728e1134a.png"" width=200 height=200 /></a>"
DenseNet169,,696.8211364746094,145.09721899032593,337,471,29,163,0.674,0.942,0.9207650273224044,0.808,0.19199999999999995,0.7782909930715934,1.2444553326013708,"<a href=""./images/9b33ca03-4e86-11ec-9534-68f728e1134a.png""><img src=""./images/9b33ca03-4e86-11ec-9534-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/9b531e24-4e86-11ec-b0a5-68f728e1134a.png""><img src=""./images/9b531e24-4e86-11ec-b0a5-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/9b652d8f-4e86-11ec-a0d5-68f728e1134a.png""><img src=""./images/9b652d8f-4e86-11ec-a0d5-68f728e1134a.png"" width=200 height=200 /></a>"
