method,description,train_time,predict_time,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,precision,accuracy,error,f1,my_score1,my_score2,my_score3,confusion_matrix,confusion_matrix_percentage,roc_curve
RealBoost,An RealBoost classifier,4417.011823892593,0.031247854232788086,107,70,55,18,0.856,0.56,0.6604938271604939,0.708,0.29200000000000004,0.7456445993031359,0.9937374357922748,0.00016881199983884566,23.862265669453162,"<a href=""./images/RealBoost_confusion_matrix_fecbab74-7181-11ec-837e-f0421cdfcb2c.png""><img src=""./images/RealBoost_confusion_matrix_fecbab74-7181-11ec-837e-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/RealBoost_confusion_matrix_percentage_fef8f758-7181-11ec-b88f-f0421cdfcb2c.png""><img src=""./images/RealBoost_confusion_matrix_percentage_fef8f758-7181-11ec-b88f-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/RealBoost_roc_fe9e5f98-7181-11ec-a507-f0421cdfcb2c.png""><img src=""./images/RealBoost_roc_fe9e5f98-7181-11ec-a507-f0421cdfcb2c.png"" width=200 height=200 /></a>"
DiscreteNBC,DiscreteNBC,360.5153214931488,195.29687786102295,103,58,67,22,0.824,0.464,0.6058823529411764,0.644,0.356,0.6983050847457626,0.8838396540714933,0.0019369636825796684,0.003575608030163647,"<a href=""./images/DiscreteNBC_confusion_matrix_b2a6ee86-7177-11ec-a7fe-f0421cdfcb2c.png""><img src=""./images/DiscreteNBC_confusion_matrix_b2a6ee86-7177-11ec-a7fe-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/DiscreteNBC_confusion_matrix_percentage_b2cd1a8a-7177-11ec-be8d-f0421cdfcb2c.png""><img src=""./images/DiscreteNBC_confusion_matrix_percentage_b2cd1a8a-7177-11ec-be8d-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/DiscreteNBC_roc_b274de48-7177-11ec-8fbb-f0421cdfcb2c.png""><img src=""./images/DiscreteNBC_roc_b274de48-7177-11ec-8fbb-f0421cdfcb2c.png"" width=200 height=200 /></a>"
BernoulliNBC,Naive Bayes classifier for multivariate Bernoulli models,2.582876682281494,0.46871519088745117,106,23,102,19,0.848,0.184,0.5096153846153846,0.516,0.484,0.6366366366366366,0.7306914270277907,0.24648355881794784,1.358259021712627,"<a href=""./images/BernoulliNBC_confusion_matrix_03fc4a34-7182-11ec-ba8e-f0421cdfcb2c.png""><img src=""./images/BernoulliNBC_confusion_matrix_03fc4a34-7182-11ec-ba8e-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/BernoulliNBC_confusion_matrix_percentage_042733ec-7182-11ec-ab2f-f0421cdfcb2c.png""><img src=""./images/BernoulliNBC_confusion_matrix_percentage_042733ec-7182-11ec-ab2f-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/BernoulliNBC_roc_03d0a442-7182-11ec-88e5-f0421cdfcb2c.png""><img src=""./images/BernoulliNBC_roc_03d0a442-7182-11ec-88e5-f0421cdfcb2c.png"" width=200 height=200 /></a>"
