method,description,train_time,predict_time,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,precision,accuracy,error,f1,my_score1,my_score2,my_score3,confusion_matrix,confusion_matrix_percentage,roc_curve
EfficientNetB0,,5855.3258061409,29.80763554573059,240,225,25,10,0.96,0.9,0.9056603773584906,0.93,0.06999999999999995,0.9320388349514563,2.264156883783007,0.0001591779630732009,0.03126845916783742,"<a href=""./images/EfficientNetB0_confusion_matrix_71e7e1a8-530e-11ec-8d7b-34e6adc36e41.png""><img src=""./images/EfficientNetB0_confusion_matrix_71e7e1a8-530e-11ec-8d7b-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/EfficientNetB0_confusion_matrix_percentage_7201013a-530e-11ec-9af0-34e6adc36e41.png""><img src=""./images/EfficientNetB0_confusion_matrix_percentage_7201013a-530e-11ec-9af0-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/EfficientNetB0_roc_721073a0-530e-11ec-85db-34e6adc36e41.png""><img src=""./images/EfficientNetB0_roc_721073a0-530e-11ec-85db-34e6adc36e41.png"" width=200 height=200 /></a>"
RealBoost,An RealBoost classifier,7642.517469167709,1.6678502559661865,213,178,72,37,0.852,0.712,0.7473684210526316,0.782,0.21799999999999997,0.7962616822429907,1.1661832795570337,0.00010418840198342467,0.4774179692659014,"<a href=""./images/RealBoost_confusion_matrix_b9577691-5300-11ec-bc01-34e6adc36e41.png""><img src=""./images/RealBoost_confusion_matrix_b9577691-5300-11ec-bc01-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/RealBoost_confusion_matrix_percentage_b97652a8-5300-11ec-8de9-34e6adc36e41.png""><img src=""./images/RealBoost_confusion_matrix_percentage_b97652a8-5300-11ec-8de9-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/RealBoost_roc_b91d3d81-5300-11ec-9fc5-34e6adc36e41.png""><img src=""./images/RealBoost_roc_b91d3d81-5300-11ec-9fc5-34e6adc36e41.png"" width=200 height=200 /></a>"
DiscreteNBC,DiscreteNBC,1146.0347905158997,317.32594895362854,219,119,131,31,0.876,0.476,0.6257142857142857,0.676,0.32399999999999995,0.7299999999999999,0.9390134038800706,0.0006369789172555422,0.0023004737003297394,"<a href=""./images/DiscreteNBC_confusion_matrix_e9a390e3-52ee-11ec-a575-34e6adc36e41.png""><img src=""./images/DiscreteNBC_confusion_matrix_e9a390e3-52ee-11ec-a575-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/DiscreteNBC_confusion_matrix_percentage_e9c59112-52ee-11ec-9812-34e6adc36e41.png""><img src=""./images/DiscreteNBC_confusion_matrix_percentage_e9c59112-52ee-11ec-9812-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/DiscreteNBC_roc_e9642412-52ee-11ec-bdc6-34e6adc36e41.png""><img src=""./images/DiscreteNBC_roc_e9642412-52ee-11ec-bdc6-34e6adc36e41.png"" width=200 height=200 /></a>"
