method,description,train_time,predict_time,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,precision,accuracy,error,f1,my_score,confusion_matrix,confusion_matrix_percentage,roc_curve
GradientBoostingClassifier,An GradientBoost classifier,16365.6407828331,1.177229404449463,327,349,26,48,0.872,0.9306666666666666,0.9263456090651558,0.9013333333333333,0.09866666666666668,0.8983516483516483,1.825723898595853,"<a href=""./images/0582f4d1-4d86-11ec-aa74-68f728e1134a.png""><img src=""./images/0582f4d1-4d86-11ec-aa74-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/05a68c44-4d86-11ec-ac04-68f728e1134a.png""><img src=""./images/05a68c44-4d86-11ec-ac04-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/055f2fc5-4d86-11ec-a206-68f728e1134a.png""><img src=""./images/055f2fc5-4d86-11ec-a206-68f728e1134a.png"" width=200 height=200 /></a>"
ResNet101,,729.9828448295593,148.2445650100708,344,330,45,31,0.9173333333333333,0.88,0.884318766066838,0.8986666666666666,0.10133333333333339,0.900523560209424,1.7951357619745534,"<a href=""./images/0b08fd84-4d9e-11ec-82b6-68f728e1134a.png""><img src=""./images/0b08fd84-4d9e-11ec-82b6-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/0b26991b-4d9e-11ec-94be-68f728e1134a.png""><img src=""./images/0b26991b-4d9e-11ec-94be-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/0b38c581-4d9e-11ec-922c-68f728e1134a.png""><img src=""./images/0b38c581-4d9e-11ec-922c-68f728e1134a.png"" width=200 height=200 /></a>"
ResNet152,,1061.7773394584656,216.69342017173767,351,319,56,24,0.936,0.8506666666666667,0.8624078624078624,0.8933333333333333,0.10666666666666669,0.8976982097186701,1.7405898911001212,"<a href=""./images/e5154eda-4da2-11ec-b204-68f728e1134a.png""><img src=""./images/e5154eda-4da2-11ec-b204-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/e533f419-4da2-11ec-b8a3-68f728e1134a.png""><img src=""./images/e533f419-4da2-11ec-b8a3-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/e546069d-4da2-11ec-97b2-68f728e1134a.png""><img src=""./images/e546069d-4da2-11ec-97b2-68f728e1134a.png"" width=200 height=200 /></a>"
EfficientNetB4,,543.2985095977783,111.54711747169495,326,343,32,49,0.8693333333333333,0.9146666666666666,0.9106145251396648,0.892,0.10799999999999998,0.8894952251023193,1.729334990991052,"<a href=""./images/978f6384-4d8f-11ec-8afc-68f728e1134a.png""><img src=""./images/978f6384-4d8f-11ec-8afc-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/97adc390-4d8f-11ec-8b4c-68f728e1134a.png""><img src=""./images/97adc390-4d8f-11ec-8b4c-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/97c00998-4d8f-11ec-ade1-68f728e1134a.png""><img src=""./images/97c00998-4d8f-11ec-ade1-68f728e1134a.png"" width=200 height=200 /></a>"
ResNet50,,423.710435628891,87.08687448501587,332,336,39,43,0.8853333333333333,0.896,0.894878706199461,0.8906666666666667,0.10933333333333328,0.8900804289544236,1.7163622314386218,"<a href=""./images/e0823f8c-4da6-11ec-bd57-68f728e1134a.png""><img src=""./images/e0823f8c-4da6-11ec-bd57-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/e09dfe39-4da6-11ec-b1b3-68f728e1134a.png""><img src=""./images/e09dfe39-4da6-11ec-b1b3-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/e0aef290-4da6-11ec-b1e6-68f728e1134a.png""><img src=""./images/e0aef290-4da6-11ec-b1e6-68f728e1134a.png"" width=200 height=200 /></a>"
EfficientNetB0,,202.85216188430786,42.51566767692566,338,329,46,37,0.9013333333333333,0.8773333333333333,0.8802083333333334,0.8893333333333333,0.11066666666666669,0.8906455862977604,1.7037580843135387,"<a href=""./images/42794da3-4d8b-11ec-bd3d-68f728e1134a.png""><img src=""./images/42794da3-4d8b-11ec-bd3d-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/42ccae92-4d8b-11ec-827c-68f728e1134a.png""><img src=""./images/42ccae92-4d8b-11ec-827c-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/42defaca-4d8b-11ec-9421-68f728e1134a.png""><img src=""./images/42defaca-4d8b-11ec-9421-68f728e1134a.png"" width=200 height=200 /></a>"
AdaBoostClassifier,An AdaBoost classifier,3292.6147305965424,44.8258216381073,322,344,31,53,0.8586666666666667,0.9173333333333333,0.9121813031161473,0.888,0.11199999999999999,0.8846153846153847,1.6927829654764501,"<a href=""./images/e92e5889-4d5f-11ec-a0ff-68f728e1134a.png""><img src=""./images/e92e5889-4d5f-11ec-a0ff-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/e95171ab-4d5f-11ec-930e-68f728e1134a.png""><img src=""./images/e95171ab-4d5f-11ec-930e-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/e90144ee-4d5f-11ec-8298-68f728e1134a.png""><img src=""./images/e90144ee-4d5f-11ec-8298-68f728e1134a.png"" width=200 height=200 /></a>"
EfficientNetB7,,1388.3533058166504,276.35075521469116,336,329,46,39,0.896,0.8773333333333333,0.8795811518324608,0.8866666666666667,0.11333333333333329,0.8877146631439895,1.6801683879317117,"<a href=""./images/8c876e4a-4d98-11ec-b28b-68f728e1134a.png""><img src=""./images/8c876e4a-4d98-11ec-b28b-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/8ca3f321-4d98-11ec-a7bf-68f728e1134a.png""><img src=""./images/8ca3f321-4d98-11ec-a7bf-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/8cb59041-4d98-11ec-8023-68f728e1134a.png""><img src=""./images/8cb59041-4d98-11ec-8023-68f728e1134a.png"" width=200 height=200 /></a>"
NonLinearSVM,Non Linear Support Vector Classification,780.2652637958527,516.7576303482056,318,343,32,57,0.848,0.9146666666666666,0.9085714285714286,0.8813333333333333,0.1186666666666667,0.8772413793103447,1.636574461725798,"<a href=""./images/091056ba-4d58-11ec-b244-68f728e1134a.png""><img src=""./images/091056ba-4d58-11ec-b244-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/093a4bee-4d58-11ec-b053-68f728e1134a.png""><img src=""./images/093a4bee-4d58-11ec-b053-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/08e110a4-4d58-11ec-a206-68f728e1134a.png""><img src=""./images/08e110a4-4d58-11ec-a206-68f728e1134a.png"" width=200 height=200 /></a>"
EfficientNetB2,,298.8975281715393,62.911256074905396,291,366,9,84,0.776,0.976,0.97,0.876,0.124,0.8622222222222223,1.5973627240143369,"<a href=""./images/ea6389da-4d8c-11ec-8cdd-68f728e1134a.png""><img src=""./images/ea6389da-4d8c-11ec-8cdd-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/ea7dca3d-4d8c-11ec-9f1e-68f728e1134a.png""><img src=""./images/ea7dca3d-4d8c-11ec-9f1e-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/ea8d4e23-4d8c-11ec-a895-68f728e1134a.png""><img src=""./images/ea8d4e23-4d8c-11ec-a895-68f728e1134a.png"" width=200 height=200 /></a>"
