method,description,train_time,predict_time,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,precision,accuracy,error,f1,my_score1,my_score2,my_score3,confusion_matrix,confusion_matrix_percentage,roc_curve
MobileNetV3Large,,381.1130540370941,97.24538159370422,758,2527,20,145,0.8394241417497231,0.9921476246564586,0.974293059125964,0.9521739130434783,0.047826086956521685,0.9018441403926234,2.9176350349629674,0.0023663428235781345,0.009273902015836296,"<a href=""./images/MobileNetV3Large_confusion_matrix_f89f885c-7559-11ec-a13c-f0421cdfcb2c.png""><img src=""./images/MobileNetV3Large_confusion_matrix_f89f885c-7559-11ec-a13c-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/MobileNetV3Large_confusion_matrix_percentage_f8cad92e-7559-11ec-931b-f0421cdfcb2c.png""><img src=""./images/MobileNetV3Large_confusion_matrix_percentage_f8cad92e-7559-11ec-931b-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/MobileNetV3Large_roc_f8ee135c-7559-11ec-8452-f0421cdfcb2c.png""><img src=""./images/MobileNetV3Large_roc_f8ee135c-7559-11ec-8452-f0421cdfcb2c.png"" width=200 height=200 /></a>"
EfficientNetB1,,917.4867358207703,201.56478667259216,794,2482,65,109,0.8792912513842747,0.9744797801334903,0.9243306169965075,0.9495652173913044,0.050434782608695605,0.9012485811577753,2.8061495978591022,0.0009823014829217465,0.0044712600649919115,"<a href=""./images/EfficientNetB1_confusion_matrix_fc69e85c-74f3-11ec-bd3e-f0421cdfcb2c.png""><img src=""./images/EfficientNetB1_confusion_matrix_fc69e85c-74f3-11ec-bd3e-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/EfficientNetB1_confusion_matrix_percentage_fc926fc0-74f3-11ec-ae5e-f0421cdfcb2c.png""><img src=""./images/EfficientNetB1_confusion_matrix_percentage_fc926fc0-74f3-11ec-ae5e-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/EfficientNetB1_roc_fcb16dba-74f3-11ec-8e36-f0421cdfcb2c.png""><img src=""./images/EfficientNetB1_roc_fcb16dba-74f3-11ec-8e36-f0421cdfcb2c.png"" width=200 height=200 /></a>"
MobileNetV3Small,,186.00161695480347,49.77355980873108,756,2519,28,147,0.8372093023255814,0.989006674519042,0.9642857142857143,0.9492753623188406,0.050724637681159424,0.8962655601659751,2.793539056856477,0.004818590154427306,0.018006860743136073,"<a href=""./images/MobileNetV3Small_confusion_matrix_8a6d719e-755a-11ec-b48d-f0421cdfcb2c.png""><img src=""./images/MobileNetV3Small_confusion_matrix_8a6d719e-755a-11ec-b48d-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/MobileNetV3Small_confusion_matrix_percentage_8a98e810-755a-11ec-ae8a-f0421cdfcb2c.png""><img src=""./images/MobileNetV3Small_confusion_matrix_percentage_8a98e810-755a-11ec-ae8a-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/MobileNetV3Small_roc_8aba2828-755a-11ec-a6d0-f0421cdfcb2c.png""><img src=""./images/MobileNetV3Small_roc_8aba2828-755a-11ec-a6d0-f0421cdfcb2c.png"" width=200 height=200 /></a>"
EfficientNetB7,,8263.31320643425,1910.4660303592682,741,2493,54,162,0.8205980066445183,0.9787985865724381,0.9320754716981132,0.9373913043478261,0.06260869565217386,0.872791519434629,2.4005043188658277,0.00010562246615014274,0.00045684744222879387,"<a href=""./images/EfficientNetB7_confusion_matrix_32e37fc6-752f-11ec-8c91-f0421cdfcb2c.png""><img src=""./images/EfficientNetB7_confusion_matrix_32e37fc6-752f-11ec-8c91-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/EfficientNetB7_confusion_matrix_percentage_33132e0a-752f-11ec-a711-f0421cdfcb2c.png""><img src=""./images/EfficientNetB7_confusion_matrix_percentage_33132e0a-752f-11ec-a711-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/EfficientNetB7_roc_337348b4-752f-11ec-bd47-f0421cdfcb2c.png""><img src=""./images/EfficientNetB7_roc_337348b4-752f-11ec-bd47-f0421cdfcb2c.png"" width=200 height=200 /></a>"
EfficientNetB2,,982.1078882217407,219.22750401496887,720,2513,34,183,0.7973421926910299,0.9866509619159796,0.9549071618037135,0.9371014492753623,0.06289855072463768,0.8690404345202173,2.391982144980791,0.0008848726753368719,0.003964103128505624,"<a href=""./images/EfficientNetB2_confusion_matrix_ce619f12-74f6-11ec-a32d-f0421cdfcb2c.png""><img src=""./images/EfficientNetB2_confusion_matrix_ce619f12-74f6-11ec-a32d-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/EfficientNetB2_confusion_matrix_percentage_ce8c88c2-74f6-11ec-b580-f0421cdfcb2c.png""><img src=""./images/EfficientNetB2_confusion_matrix_percentage_ce8c88c2-74f6-11ec-b580-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/EfficientNetB2_roc_ceb36afa-74f6-11ec-ad79-f0421cdfcb2c.png""><img src=""./images/EfficientNetB2_roc_ceb36afa-74f6-11ec-ad79-f0421cdfcb2c.png"" width=200 height=200 /></a>"
EfficientNetB0,,762.7141199111938,151.01269006729126,784,2440,107,119,0.8682170542635659,0.9579897919120534,0.8799102132435466,0.9344927536231884,0.0655072463768116,0.8740245261984392,2.3276219169698265,0.0011459398788896233,0.0057877554913363495,"<a href=""./images/EfficientNetB0_confusion_matrix_5b7b4cfa-74f1-11ec-83f4-f0421cdfcb2c.png""><img src=""./images/EfficientNetB0_confusion_matrix_5b7b4cfa-74f1-11ec-83f4-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/EfficientNetB0_confusion_matrix_percentage_5bad5d5e-74f1-11ec-8a3d-f0421cdfcb2c.png""><img src=""./images/EfficientNetB0_confusion_matrix_percentage_5bad5d5e-74f1-11ec-8a3d-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/EfficientNetB0_roc_5bcebdbe-74f1-11ec-9ead-f0421cdfcb2c.png""><img src=""./images/EfficientNetB0_roc_5bcebdbe-74f1-11ec-9ead-f0421cdfcb2c.png"" width=200 height=200 /></a>"
EfficientNetB4,,2075.7209374904633,499.8682825565338,729,2494,53,174,0.8073089700996677,0.9791912053396152,0.9322250639386189,0.9342028985507247,0.06579710144927531,0.8652818991097923,2.3177575518940157,0.00041685849166021036,0.001731019809227306,"<a href=""./images/EfficientNetB4_confusion_matrix_d26a31a2-7500-11ec-b526-f0421cdfcb2c.png""><img src=""./images/EfficientNetB4_confusion_matrix_d26a31a2-7500-11ec-b526-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/EfficientNetB4_confusion_matrix_percentage_d292b90a-7500-11ec-bc3a-f0421cdfcb2c.png""><img src=""./images/EfficientNetB4_confusion_matrix_percentage_d292b90a-7500-11ec-bc3a-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/EfficientNetB4_roc_d2b4193e-7500-11ec-a552-f0421cdfcb2c.png""><img src=""./images/EfficientNetB4_roc_d2b4193e-7500-11ec-a552-f0421cdfcb2c.png"" width=200 height=200 /></a>"
EfficientNetB3,,1416.9189758300781,286.5539586544037,714,2508,39,189,0.7906976744186046,0.9846878680800942,0.9482071713147411,0.9339130434782609,0.06608695652173913,0.8623188405797101,2.3100678907558674,0.0006085872624258809,0.0030092721267190848,"<a href=""./images/EfficientNetB3_confusion_matrix_cc035948-74fa-11ec-9002-f0421cdfcb2c.png""><img src=""./images/EfficientNetB3_confusion_matrix_cc035948-74fa-11ec-9002-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/EfficientNetB3_confusion_matrix_percentage_cc2be078-74fa-11ec-8b77-f0421cdfcb2c.png""><img src=""./images/EfficientNetB3_confusion_matrix_percentage_cc2be078-74fa-11ec-8b77-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/EfficientNetB3_roc_cc4b9de2-74fa-11ec-858e-f0421cdfcb2c.png""><img src=""./images/EfficientNetB3_roc_cc4b9de2-74fa-11ec-858e-f0421cdfcb2c.png"" width=200 height=200 /></a>"
EfficientNetB5,,3177.107990503311,714.2821841239929,714,2508,39,189,0.7906976744186046,0.9846878680800942,0.9482071713147411,0.9339130434782609,0.06608695652173913,0.8623188405797101,2.3100678907558674,0.00027141628271914775,0.0012072523433260087,"<a href=""./images/EfficientNetB5_confusion_matrix_ea0b181e-7509-11ec-9bbf-f0421cdfcb2c.png""><img src=""./images/EfficientNetB5_confusion_matrix_ea0b181e-7509-11ec-9bbf-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/EfficientNetB5_confusion_matrix_percentage_ea3ac4e2-7509-11ec-bd5d-f0421cdfcb2c.png""><img src=""./images/EfficientNetB5_confusion_matrix_percentage_ea3ac4e2-7509-11ec-bd5d-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/EfficientNetB5_roc_ea5e88d2-7509-11ec-af09-f0421cdfcb2c.png""><img src=""./images/EfficientNetB5_roc_ea5e88d2-7509-11ec-af09-f0421cdfcb2c.png"" width=200 height=200 /></a>"
ResNet101,,5464.258010625839,1054.308601617813,840,2379,168,63,0.9302325581395349,0.934040047114252,0.8333333333333334,0.9330434782608695,0.06695652173913047,0.8791208791208791,2.2961318747517314,0.00016088568244971847,0.0008338363907606252,"<a href=""./images/ResNet101_confusion_matrix_c82fd5e8-7569-11ec-b304-f0421cdfcb2c.png""><img src=""./images/ResNet101_confusion_matrix_c82fd5e8-7569-11ec-b304-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/ResNet101_confusion_matrix_percentage_c85b74b8-7569-11ec-aa01-f0421cdfcb2c.png""><img src=""./images/ResNet101_confusion_matrix_percentage_c85b74b8-7569-11ec-aa01-f0421cdfcb2c.png"" width=200 height=200 /></a>","<a href=""./images/ResNet101_roc_c87a8fb8-7569-11ec-a375-f0421cdfcb2c.png""><img src=""./images/ResNet101_roc_c87a8fb8-7569-11ec-a375-f0421cdfcb2c.png"" width=200 height=200 /></a>"
