method,description,train_time,predict_time,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,precision,accuracy,error,f1,my_score,confusion_matrix,confusion_matrix_percentage,roc_curve
DiscreteNBC,DiscreteNBC,17.010122299194336,2.634516477584839,2,1,1,0,1.0,0.5,0.6666666666666666,0.75,0.25,0.8,1.0916666666666668,"<a href=""./images/2be3591f-4f91-11ec-9b6f-68f728e1134a.png""><img src=""./images/2be3591f-4f91-11ec-9b6f-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/2c19c47c-4f91-11ec-9df8-68f728e1134a.png""><img src=""./images/2c19c47c-4f91-11ec-9df8-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/2bb362cc-4f91-11ec-a0ee-68f728e1134a.png""><img src=""./images/2bb362cc-4f91-11ec-a0ee-68f728e1134a.png"" width=200 height=200 /></a>"
BernoulliNBC,Naive Bayes classifier for multivariate Bernoulli models,0.1161336898803711,0.03446459770202637,2,1,1,0,1.0,0.5,0.6666666666666666,0.75,0.25,0.8,1.0916666666666668,"<a href=""./images/2fa34b93-4f91-11ec-8fe9-68f728e1134a.png""><img src=""./images/2fa34b93-4f91-11ec-8fe9-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/2fe12e5d-4f91-11ec-8d88-68f728e1134a.png""><img src=""./images/2fe12e5d-4f91-11ec-8d88-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/2e683dc0-4f91-11ec-ad49-68f728e1134a.png""><img src=""./images/2e683dc0-4f91-11ec-ad49-68f728e1134a.png"" width=200 height=200 /></a>"
ComplementNBC,The Complement Naive Bayes classifier described in Rennie et al,0.11988067626953125,0.011989831924438477,2,1,1,0,1.0,0.5,0.6666666666666666,0.75,0.25,0.8,1.0916666666666668,"<a href=""./images/3236ffd3-4f91-11ec-9a3d-68f728e1134a.png""><img src=""./images/3236ffd3-4f91-11ec-9a3d-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/32ad10fa-4f91-11ec-bd53-68f728e1134a.png""><img src=""./images/32ad10fa-4f91-11ec-bd53-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/31dbfc42-4f91-11ec-aa90-68f728e1134a.png""><img src=""./images/31dbfc42-4f91-11ec-aa90-68f728e1134a.png"" width=200 height=200 /></a>"
