method,description,train_time,predict_time,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,precision,accuracy,error,f1,my_score1,my_score2,my_score3,confusion_matrix,confusion_matrix_percentage,roc_curve
EfficientNetB0,,8700.116859197617,33.78532958030701,237,232,18,13,0.948,0.928,0.9294117647058824,0.938,0.062000000000000055,0.9386138613861386,2.4565513329701076,0.00010788520161011997,0.02778169912935357,"<a href=""./images/EfficientNetB0_confusion_matrix_96a31ed1-52ea-11ec-8efb-34e6adc36e41.png""><img src=""./images/EfficientNetB0_confusion_matrix_96a31ed1-52ea-11ec-8efb-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/EfficientNetB0_confusion_matrix_percentage_96c3d144-52ea-11ec-b182-34e6adc36e41.png""><img src=""./images/EfficientNetB0_confusion_matrix_percentage_96c3d144-52ea-11ec-b182-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/EfficientNetB0_roc_96d72b29-52ea-11ec-ab22-34e6adc36e41.png""><img src=""./images/EfficientNetB0_roc_96d72b29-52ea-11ec-ab22-34e6adc36e41.png"" width=200 height=200 /></a>"
RealBoost,An RealBoost classifier,8971.269762992859,1.0657458305358887,212,179,71,38,0.848,0.716,0.7491166077738516,0.782,0.21799999999999997,0.7954971857410882,1.1659758499782047,8.867163810217501e-05,0.7464229865587075,"<a href=""./images/RealBoost_confusion_matrix_39e1ff73-52d6-11ec-ba49-34e6adc36e41.png""><img src=""./images/RealBoost_confusion_matrix_39e1ff73-52d6-11ec-ba49-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/RealBoost_confusion_matrix_percentage_3a0c86e5-52d6-11ec-8d81-34e6adc36e41.png""><img src=""./images/RealBoost_confusion_matrix_percentage_3a0c86e5-52d6-11ec-8d81-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/RealBoost_roc_397b23d9-52d6-11ec-8a31-34e6adc36e41.png""><img src=""./images/RealBoost_roc_397b23d9-52d6-11ec-8a31-34e6adc36e41.png"" width=200 height=200 /></a>"
DiscreteNBC,DiscreteNBC,986.773500919342,278.9429519176483,219,117,133,31,0.876,0.468,0.6221590909090909,0.672,0.32799999999999996,0.7275747508305649,0.9324813332866795,0.0007373270057948548,0.0026083281396024126,"<a href=""./images/DiscreteNBC_confusion_matrix_5295f60c-52c1-11ec-87b1-34e6adc36e41.png""><img src=""./images/DiscreteNBC_confusion_matrix_5295f60c-52c1-11ec-87b1-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/DiscreteNBC_confusion_matrix_percentage_52b58d04-52c1-11ec-b487-34e6adc36e41.png""><img src=""./images/DiscreteNBC_confusion_matrix_percentage_52b58d04-52c1-11ec-b487-34e6adc36e41.png"" width=200 height=200 /></a>","<a href=""./images/DiscreteNBC_roc_524cc26c-52c1-11ec-a891-34e6adc36e41.png""><img src=""./images/DiscreteNBC_roc_524cc26c-52c1-11ec-a891-34e6adc36e41.png"" width=200 height=200 /></a>"
