method,description,train_time,predict_time,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,precision,accuracy,error,f1,my_score,confusion_matrix,confusion_matrix_percentage,roc_curve
EfficientNetB3,,462.49974060058594,83.98395442962646,301,357,18,74,0.8026666666666666,0.952,0.9435736677115988,0.8773333333333333,0.1226666666666667,0.867435158501441,1.606492337326228,"<a href=""./images/97c0f528-4df5-11ec-94ee-68f728e1134a.png""><img src=""./images/97c0f528-4df5-11ec-94ee-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/97db0c9b-4df5-11ec-b917-68f728e1134a.png""><img src=""./images/97db0c9b-4df5-11ec-b917-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/97ead5c4-4df5-11ec-929a-68f728e1134a.png""><img src=""./images/97ead5c4-4df5-11ec-929a-68f728e1134a.png"" width=200 height=200 /></a>"
EfficientNetB5,,869.516961812973,157.20582628250122,333,324,51,42,0.888,0.864,0.8671875,0.876,0.124,0.8774703557312253,1.5947055407688384,"<a href=""./images/be167f43-4df9-11ec-a084-68f728e1134a.png""><img src=""./images/be167f43-4df9-11ec-a084-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/be32ac28-4df9-11ec-ab62-68f728e1134a.png""><img src=""./images/be32ac28-4df9-11ec-ab62-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/be439936-4df9-11ec-b2f8-68f728e1134a.png""><img src=""./images/be439936-4df9-11ec-b2f8-68f728e1134a.png"" width=200 height=200 /></a>"
AdaBoostClassifier,An AdaBoost classifier,3350.3863949775696,37.918914556503296,320,332,43,55,0.8533333333333334,0.8853333333333333,0.8815426997245179,0.8693333333333333,0.1306666666666667,0.8672086720867208,1.5478647284647917,"<a href=""./images/f2ef83b3-4dc3-11ec-aeda-68f728e1134a.png""><img src=""./images/f2ef83b3-4dc3-11ec-aeda-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/f314102d-4dc3-11ec-b551-68f728e1134a.png""><img src=""./images/f314102d-4dc3-11ec-b551-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/f2c2769e-4dc3-11ec-abd4-68f728e1134a.png""><img src=""./images/f2c2769e-4dc3-11ec-abd4-68f728e1134a.png"" width=200 height=200 /></a>"
KNeighborsClassifier,Classifier implementing the k-nearest neighbors vote,0.4479391574859619,22.649757146835327,332,318,57,43,0.8853333333333333,0.848,0.8534704370179949,0.8666666666666667,0.1333333333333333,0.869109947643979,1.5299020175237892,"<a href=""./images/03d70272-4db5-11ec-a640-68f728e1134a.png""><img src=""./images/03d70272-4db5-11ec-a640-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/03fc816c-4db5-11ec-bd79-68f728e1134a.png""><img src=""./images/03fc816c-4db5-11ec-bd79-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/03a20af4-4db5-11ec-80e7-68f728e1134a.png""><img src=""./images/03a20af4-4db5-11ec-80e7-68f728e1134a.png"" width=200 height=200 /></a>"
EfficientNetB6,,1138.52454662323,204.35986018180847,307,340,35,68,0.8186666666666667,0.9066666666666666,0.8976608187134503,0.8626666666666667,0.1373333333333333,0.8563458856345885,1.5048943644944646,"<a href=""./images/e46941a9-4dfc-11ec-aa9e-68f728e1134a.png""><img src=""./images/e46941a9-4dfc-11ec-aa9e-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/e4878da8-4dfc-11ec-8d80-68f728e1134a.png""><img src=""./images/e4878da8-4dfc-11ec-8d80-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/e499ae0e-4dfc-11ec-8836-68f728e1134a.png""><img src=""./images/e499ae0e-4dfc-11ec-8836-68f728e1134a.png"" width=200 height=200 /></a>"
LinearSVM,Linear Support Vector Classification,1272.7649157047272,2.7305922508239746,310,328,47,65,0.8266666666666667,0.8746666666666667,0.8683473389355743,0.8506666666666667,0.14933333333333332,0.8469945355191256,1.4351748587959774,"<a href=""./images/fdb6c724-4db7-11ec-a8ec-68f728e1134a.png""><img src=""./images/fdb6c724-4db7-11ec-a8ec-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/fdeca00e-4db7-11ec-ae13-68f728e1134a.png""><img src=""./images/fdeca00e-4db7-11ec-ae13-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/fd59127d-4db7-11ec-ba36-68f728e1134a.png""><img src=""./images/fd59127d-4db7-11ec-ba36-68f728e1134a.png"" width=200 height=200 /></a>"
VGG16,,1489.8686485290527,231.96897912025452,303,326,49,72,0.808,0.8693333333333333,0.8607954545454546,0.8386666666666667,0.16133333333333333,0.8335625859697386,1.3742955491832165,"<a href=""./images/92895e86-4e16-11ec-8bcc-68f728e1134a.png""><img src=""./images/92895e86-4e16-11ec-8bcc-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/92a93f42-4e16-11ec-92b4-68f728e1134a.png""><img src=""./images/92a93f42-4e16-11ec-92b4-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/92baf7b2-4e16-11ec-949f-68f728e1134a.png""><img src=""./images/92baf7b2-4e16-11ec-949f-68f728e1134a.png"" width=200 height=200 /></a>"
MobileNetV3Small,,53.84596562385559,11.349020004272461,266,362,13,109,0.7093333333333334,0.9653333333333334,0.953405017921147,0.8373333333333334,0.16266666666666663,0.8134556574923548,1.3680224288989482,"<a href=""./images/1610f7a7-4e05-11ec-8d84-68f728e1134a.png""><img src=""./images/1610f7a7-4e05-11ec-8d84-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/162ac455-4e05-11ec-834c-68f728e1134a.png""><img src=""./images/162ac455-4e05-11ec-834c-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/163a162e-4e05-11ec-9e74-68f728e1134a.png""><img src=""./images/163a162e-4e05-11ec-9e74-68f728e1134a.png"" width=200 height=200 /></a>"
VGG19,,1942.6000728607178,444.50807785987854,270,350,25,105,0.72,0.9333333333333333,0.9152542372881356,0.8266666666666667,0.17333333333333334,0.8059701492537312,1.3194335752787563,"<a href=""./images/2282a2d9-4e1c-11ec-b377-68f728e1134a.png""><img src=""./images/2282a2d9-4e1c-11ec-b377-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/22d44316-4e1c-11ec-8257-68f728e1134a.png""><img src=""./images/22d44316-4e1c-11ec-8257-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/231252b8-4e1c-11ec-b0cb-68f728e1134a.png""><img src=""./images/231252b8-4e1c-11ec-b0cb-68f728e1134a.png"" width=200 height=200 /></a>"
DenseNet121,,506.424015045166,90.87859416007996,322,293,82,53,0.8586666666666667,0.7813333333333333,0.7970297029702971,0.82,0.18000000000000005,0.8267008985879333,1.2946089751465517,"<a href=""./images/f390cb83-4ded-11ec-a999-68f728e1134a.png""><img src=""./images/f390cb83-4ded-11ec-a999-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/f3ac81b7-4ded-11ec-a375-68f728e1134a.png""><img src=""./images/f3ac81b7-4ded-11ec-a375-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/f3bdf65e-4ded-11ec-9304-68f728e1134a.png""><img src=""./images/f3bdf65e-4ded-11ec-9304-68f728e1134a.png"" width=200 height=200 /></a>"
DiscreteNBC,DiscreteNBC,959.5997202396393,438.8533000946045,305,304,71,70,0.8133333333333334,0.8106666666666666,0.8111702127659575,0.812,0.18799999999999994,0.8122503328894806,1.2627570813383575,"<a href=""./images/a8c4daae-4db4-11ec-a7f1-68f728e1134a.png""><img src=""./images/a8c4daae-4db4-11ec-a7f1-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/a8e5a288-4db4-11ec-b8e1-68f728e1134a.png""><img src=""./images/a8e5a288-4db4-11ec-b8e1-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/a881dbac-4db4-11ec-91d7-68f728e1134a.png""><img src=""./images/a881dbac-4db4-11ec-91d7-68f728e1134a.png"" width=200 height=200 /></a>"
MobileNetV3Large,,130.4306800365448,25.103965997695923,234,370,5,141,0.624,0.9866666666666667,0.9790794979079498,0.8053333333333333,0.19466666666666665,0.762214983713355,1.234314071784459,"<a href=""./images/eda928a4-4e04-11ec-97ec-68f728e1134a.png""><img src=""./images/eda928a4-4e04-11ec-97ec-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/edc904c8-4e04-11ec-89c8-68f728e1134a.png""><img src=""./images/edc904c8-4e04-11ec-89c8-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/edda3eef-4e04-11ec-bc56-68f728e1134a.png""><img src=""./images/edda3eef-4e04-11ec-bc56-68f728e1134a.png"" width=200 height=200 /></a>"
MobileNetV2,,135.55355620384216,26.101365566253662,299,304,71,76,0.7973333333333333,0.8106666666666666,0.8081081081081081,0.804,0.19599999999999995,0.8026845637583893,1.2335571743226588,"<a href=""./images/8e8fca46-4e04-11ec-9078-68f728e1134a.png""><img src=""./images/8e8fca46-4e04-11ec-9078-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/8eab45b0-4e04-11ec-81c2-68f728e1134a.png""><img src=""./images/8eab45b0-4e04-11ec-81c2-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/8ebf63f9-4e04-11ec-bc40-68f728e1134a.png""><img src=""./images/8ebf63f9-4e04-11ec-bc40-68f728e1134a.png"" width=200 height=200 /></a>"
DenseNet201,,780.5525648593903,140.6026041507721,255,338,37,120,0.68,0.9013333333333333,0.8732876712328768,0.7906666666666666,0.20933333333333337,0.7646176911544228,1.1845446190699258,"<a href=""./images/cb2f9b39-4df1-11ec-b737-68f728e1134a.png""><img src=""./images/cb2f9b39-4df1-11ec-b737-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/cb4dcdcc-4df1-11ec-ba62-68f728e1134a.png""><img src=""./images/cb4dcdcc-4df1-11ec-ba62-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/cb6035f3-4df1-11ec-9614-68f728e1134a.png""><img src=""./images/cb6035f3-4df1-11ec-9614-68f728e1134a.png"" width=200 height=200 /></a>"
InceptionV3,,288.8414409160614,52.85634422302246,305,271,104,70,0.8133333333333334,0.7226666666666667,0.7457212713936431,0.768,0.23199999999999998,0.7780612244897959,1.125037222142883,"<a href=""./images/cceaf106-4e03-11ec-8961-68f728e1134a.png""><img src=""./images/cceaf106-4e03-11ec-8961-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/cd079cd1-4e03-11ec-a379-68f728e1134a.png""><img src=""./images/cd079cd1-4e03-11ec-a379-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/cd18c2f2-4e03-11ec-8178-68f728e1134a.png""><img src=""./images/cd18c2f2-4e03-11ec-8178-68f728e1134a.png"" width=200 height=200 /></a>"
MultinomialNBC,Naive Bayes classifier for multinomial models,17.405380725860596,1.3172533512115479,292,282,93,83,0.7786666666666666,0.752,0.7584415584415585,0.7653333333333333,0.2346666666666667,0.768421052631579,1.115791045796309,"<a href=""./images/e5b402de-4db4-11ec-b072-68f728e1134a.png""><img src=""./images/e5b402de-4db4-11ec-b072-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/e5d104b7-4db4-11ec-85d3-68f728e1134a.png""><img src=""./images/e5d104b7-4db4-11ec-85d3-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/e58f58d4-4db4-11ec-b997-68f728e1134a.png""><img src=""./images/e58f58d4-4db4-11ec-b997-68f728e1134a.png"" width=200 height=200 /></a>"
ComplementNBC,The Complement Naive Bayes classifier described in Rennie et al,17.534712314605713,1.3439929485321045,292,282,93,83,0.7786666666666666,0.752,0.7584415584415585,0.7653333333333333,0.2346666666666667,0.768421052631579,1.115791045796309,"<a href=""./images/c75cc824-4db4-11ec-a96b-68f728e1134a.png""><img src=""./images/c75cc824-4db4-11ec-a96b-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/c778f3c6-4db4-11ec-b6d6-68f728e1134a.png""><img src=""./images/c778f3c6-4db4-11ec-b6d6-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/c737f239-4db4-11ec-b9d9-68f728e1134a.png""><img src=""./images/c737f239-4db4-11ec-b9d9-68f728e1134a.png"" width=200 height=200 /></a>"
GaussianNBC,Gaussian Naive Bayes (GaussianNB),15.596952676773071,7.130857944488525,275,290,85,100,0.7333333333333333,0.7733333333333333,0.7638888888888888,0.7533333333333333,0.2466666666666667,0.7482993197278911,1.0819439541582399,"<a href=""./images/d9708503-4db4-11ec-a072-68f728e1134a.png""><img src=""./images/d9708503-4db4-11ec-a072-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/d99411a4-4db4-11ec-a9e2-68f728e1134a.png""><img src=""./images/d99411a4-4db4-11ec-a9e2-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/d94bc226-4db4-11ec-a872-68f728e1134a.png""><img src=""./images/d94bc226-4db4-11ec-a872-68f728e1134a.png"" width=200 height=200 /></a>"
MobileNet,,134.73061203956604,24.612327814102173,208,351,24,167,0.5546666666666666,0.936,0.896551724137931,0.7453333333333333,0.2546666666666667,0.6853377265238879,1.0485941927437998,"<a href=""./images/2cd23215-4e04-11ec-8afc-68f728e1134a.png""><img src=""./images/2cd23215-4e04-11ec-8afc-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/2cf301ec-4e04-11ec-bec3-68f728e1134a.png""><img src=""./images/2cf301ec-4e04-11ec-bec3-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/2d05d687-4e04-11ec-b656-68f728e1134a.png""><img src=""./images/2d05d687-4e04-11ec-b656-68f728e1134a.png"" width=200 height=200 /></a>"
DenseNet169,,604.8771228790283,108.62844681739807,204,342,33,171,0.544,0.912,0.8607594936708861,0.728,0.272,0.6666666666666666,1.0054563415239515,"<a href=""./images/a0d8f854-4def-11ec-82c1-68f728e1134a.png""><img src=""./images/a0d8f854-4def-11ec-82c1-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/a0f6976f-4def-11ec-b2aa-68f728e1134a.png""><img src=""./images/a0f6976f-4def-11ec-b2aa-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/a1091364-4def-11ec-bc30-68f728e1134a.png""><img src=""./images/a1091364-4def-11ec-bc30-68f728e1134a.png"" width=200 height=200 /></a>"
ResNet50V2,,419.82049345970154,74.17050051689148,362,157,218,13,0.9653333333333334,0.4186666666666667,0.6241379310344828,0.692,0.30800000000000005,0.7581151832460734,0.9737467094018097,"<a href=""./images/8f670a03-4e12-11ec-b87c-68f728e1134a.png""><img src=""./images/8f670a03-4e12-11ec-b87c-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/8f81e8b6-4e12-11ec-a8d0-68f728e1134a.png""><img src=""./images/8f81e8b6-4e12-11ec-a8d0-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/8f9252a2-4e12-11ec-b2a4-68f728e1134a.png""><img src=""./images/8f9252a2-4e12-11ec-b2a4-68f728e1134a.png"" width=200 height=200 /></a>"
BernoulliNBC,Naive Bayes classifier for multivariate Bernoulli models,24.47415328025818,2.247982978820801,314,193,182,61,0.8373333333333334,0.5146666666666667,0.6330645161290323,0.676,0.32399999999999995,0.7210103329506314,0.935253593396861,"<a href=""./images/bafdc5ec-4db4-11ec-b6af-68f728e1134a.png""><img src=""./images/bafdc5ec-4db4-11ec-b6af-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/bb202f6c-4db4-11ec-accf-68f728e1134a.png""><img src=""./images/bb202f6c-4db4-11ec-accf-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/bad1aaec-4db4-11ec-9d84-68f728e1134a.png""><img src=""./images/bad1aaec-4db4-11ec-9d84-68f728e1134a.png"" width=200 height=200 /></a>"
ResNet101V2,,759.6407182216644,134.99259233474731,370,5,370,5,0.9866666666666667,0.013333333333333334,0.5,0.5,0.5,0.663677130044843,0.7318385650224215,"<a href=""./images/85cf3bf0-4e09-11ec-9ef2-68f728e1134a.png""><img src=""./images/85cf3bf0-4e09-11ec-9ef2-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/85ea33fc-4e09-11ec-a6a5-68f728e1134a.png""><img src=""./images/85ea33fc-4e09-11ec-a6a5-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/85fa0831-4e09-11ec-9d1e-68f728e1134a.png""><img src=""./images/85fa0831-4e09-11ec-9d1e-68f728e1134a.png"" width=200 height=200 /></a>"
ResNet152V2,,1137.4573013782501,202.22441744804382,105,338,37,270,0.28,0.9013333333333333,0.7394366197183099,0.5906666666666667,0.4093333333333333,0.4061895551257254,0.6985381138017948,"<a href=""./images/09e87253-4e10-11ec-89e8-68f728e1134a.png""><img src=""./images/09e87253-4e10-11ec-89e8-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/0a07e2cf-4e10-11ec-bde6-68f728e1134a.png""><img src=""./images/0a07e2cf-4e10-11ec-bde6-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/0a1a2d9b-4e10-11ec-be6c-68f728e1134a.png""><img src=""./images/0a1a2d9b-4e10-11ec-be6c-68f728e1134a.png"" width=200 height=200 /></a>"
Xception,,731.5880994796753,125.04174089431763,68,365,10,307,0.18133333333333335,0.9733333333333334,0.8717948717948718,0.5773333333333334,0.42266666666666663,0.3002207505518764,0.647082922392334,"<a href=""./images/29f23125-4e1e-11ec-bac3-68f728e1134a.png""><img src=""./images/29f23125-4e1e-11ec-bac3-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/2a109a52-4e1e-11ec-8882-68f728e1134a.png""><img src=""./images/2a109a52-4e1e-11ec-8882-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/2a22e5ec-4e1e-11ec-b9ed-68f728e1134a.png""><img src=""./images/2a22e5ec-4e1e-11ec-b9ed-68f728e1134a.png"" width=200 height=200 /></a>"
InceptionResNetV2,,632.8430209159851,115.52685976028442,0,375,0,375,0.0,1.0,0.0,0.5,0.5,0.0,0.35000000000000003,"<a href=""./images/feb74060-4e02-11ec-826f-68f728e1134a.png""><img src=""./images/feb74060-4e02-11ec-826f-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/fed40fca-4e02-11ec-af48-68f728e1134a.png""><img src=""./images/fed40fca-4e02-11ec-af48-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/fee4af69-4e02-11ec-8cb2-68f728e1134a.png""><img src=""./images/fee4af69-4e02-11ec-8cb2-68f728e1134a.png"" width=200 height=200 /></a>"
