method,description,train_time,predict_time,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,precision,accuracy,error,f1,my_score,confusion_matrix,confusion_matrix_percentage,roc_curve
GradientBoostingClassifier,An GradientBoost classifier,17433.615403413773,1.0442826747894287,336,344,31,39,0.896,0.9173333333333333,0.9155313351498637,0.9066666666666666,0.09333333333333338,0.9056603773584905,1.8878118936228026,"<a href=""./images/8bca47f0-4dec-11ec-828d-68f728e1134a.png""><img src=""./images/8bca47f0-4dec-11ec-828d-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/8bed38ee-4dec-11ec-98bd-68f728e1134a.png""><img src=""./images/8bed38ee-4dec-11ec-98bd-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/8b9c7ea1-4dec-11ec-882f-68f728e1134a.png""><img src=""./images/8b9c7ea1-4dec-11ec-882f-68f728e1134a.png"" width=200 height=200 /></a>"
ResNet101,,848.6765756607056,150.29314970970154,343,335,40,32,0.9146666666666666,0.8933333333333333,0.8955613577023499,0.904,0.09599999999999997,0.9050131926121372,1.8549293987429705,"<a href=""./images/6d129607-4e07-11ec-bbac-68f728e1134a.png""><img src=""./images/6d129607-4e07-11ec-bbac-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/6d302a86-4e07-11ec-95b8-68f728e1134a.png""><img src=""./images/6d302a86-4e07-11ec-95b8-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/6d427561-4e07-11ec-89df-68f728e1134a.png""><img src=""./images/6d427561-4e07-11ec-89df-68f728e1134a.png"" width=200 height=200 /></a>"
ResNet152,,1224.1828150749207,217.31488466262817,357,318,57,18,0.952,0.848,0.8623188405797102,0.9,0.09999999999999998,0.9049429657794676,1.808703366947705,"<a href=""./images/e69b61af-4e0c-11ec-8e47-68f728e1134a.png""><img src=""./images/e69b61af-4e0c-11ec-8e47-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/e6b6050a-4e0c-11ec-a461-68f728e1134a.png""><img src=""./images/e6b6050a-4e0c-11ec-a461-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/e6c5943f-4e0c-11ec-ae9d-68f728e1134a.png""><img src=""./images/e6c5943f-4e0c-11ec-ae9d-68f728e1134a.png"" width=200 height=200 /></a>"
EfficientNetB4,,627.2539520263672,113.21709275245667,337,336,39,38,0.8986666666666666,0.896,0.8962765957446809,0.8973333333333333,0.10266666666666668,0.8974700399467377,1.7815886535738108,"<a href=""./images/550c6421-4df7-11ec-9f69-68f728e1134a.png""><img src=""./images/550c6421-4df7-11ec-9f69-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/5528e5d7-4df7-11ec-99f8-68f728e1134a.png""><img src=""./images/5528e5d7-4df7-11ec-99f8-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/553a63c8-4df7-11ec-a973-68f728e1134a.png""><img src=""./images/553a63c8-4df7-11ec-a973-68f728e1134a.png"" width=200 height=200 /></a>"
EfficientNetB2,,343.6503264904022,63.284000635147095,328,341,34,47,0.8746666666666667,0.9093333333333333,0.9060773480662984,0.892,0.10799999999999998,0.8900949796472185,1.7291811505561654,"<a href=""./images/4e351b83-4df4-11ec-a595-68f728e1134a.png""><img src=""./images/4e351b83-4df4-11ec-a595-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/4e56f2a8-4df4-11ec-889a-68f728e1134a.png""><img src=""./images/4e56f2a8-4df4-11ec-889a-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/4e68f47c-4df4-11ec-a95e-68f728e1134a.png""><img src=""./images/4e68f47c-4df4-11ec-a95e-68f728e1134a.png"" width=200 height=200 /></a>"
ResNet50,,492.8001980781555,88.48853898048401,342,326,49,33,0.912,0.8693333333333333,0.8746803069053708,0.8906666666666667,0.10933333333333328,0.8929503916449086,1.7157773728544552,"<a href=""./images/66fea988-4e11-11ec-b4a4-68f728e1134a.png""><img src=""./images/66fea988-4e11-11ec-b4a4-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/671c2963-4e11-11ec-aa5d-68f728e1134a.png""><img src=""./images/671c2963-4e11-11ec-aa5d-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/672e26ef-4e11-11ec-9cef-68f728e1134a.png""><img src=""./images/672e26ef-4e11-11ec-9cef-68f728e1134a.png"" width=200 height=200 /></a>"
EfficientNetB1,,325.2250783443451,59.91556668281555,340,327,48,35,0.9066666666666666,0.872,0.8762886597938144,0.8893333333333333,0.11066666666666669,0.8912188728702489,1.7036527602458311,"<a href=""./images/58d87a40-4df3-11ec-922f-68f728e1134a.png""><img src=""./images/58d87a40-4df3-11ec-922f-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/58f5efd9-4df3-11ec-a92a-68f728e1134a.png""><img src=""./images/58f5efd9-4df3-11ec-a92a-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/5907e396-4df3-11ec-9d9f-68f728e1134a.png""><img src=""./images/5907e396-4df3-11ec-9d9f-68f728e1134a.png"" width=200 height=200 /></a>"
EfficientNetB7,,1572.9310340881348,277.307879447937,311,354,21,64,0.8293333333333334,0.944,0.9367469879518072,0.8866666666666667,0.11333333333333329,0.8797736916548797,1.6819144857990915,"<a href=""./images/3ae23dbc-4e01-11ec-a1b5-68f728e1134a.png""><img src=""./images/3ae23dbc-4e01-11ec-a1b5-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/3b032b8c-4e01-11ec-a431-68f728e1134a.png""><img src=""./images/3b032b8c-4e01-11ec-a431-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/3b164283-4e01-11ec-940f-68f728e1134a.png""><img src=""./images/3b164283-4e01-11ec-940f-68f728e1134a.png"" width=200 height=200 /></a>"
EfficientNetB0,,230.2919523715973,43.514254331588745,327,334,41,48,0.872,0.8906666666666667,0.8885869565217391,0.8813333333333333,0.1186666666666667,0.8802153432032302,1.636062996467272,"<a href=""./images/706fcd20-4df2-11ec-b889-68f728e1134a.png""><img src=""./images/706fcd20-4df2-11ec-b889-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/708c277b-4df2-11ec-827d-68f728e1134a.png""><img src=""./images/708c277b-4df2-11ec-827d-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/709d7d08-4df2-11ec-8f80-68f728e1134a.png""><img src=""./images/709d7d08-4df2-11ec-8f80-68f728e1134a.png"" width=200 height=200 /></a>"
NonLinearSVM,Non Linear Support Vector Classification,809.4299266338348,449.9496545791626,322,338,37,53,0.8586666666666667,0.9013333333333333,0.8969359331476323,0.88,0.12,0.8773841961852862,1.6257190247407398,"<a href=""./images/f81e5781-4dbb-11ec-ab2b-68f728e1134a.png""><img src=""./images/f81e5781-4dbb-11ec-ab2b-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/f855ad05-4dbb-11ec-86dd-68f728e1134a.png""><img src=""./images/f855ad05-4dbb-11ec-86dd-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/f7d5ea60-4dbb-11ec-b084-68f728e1134a.png""><img src=""./images/f7d5ea60-4dbb-11ec-b084-68f728e1134a.png"" width=200 height=200 /></a>"
