method,description,train_time,predict_time,true_positive,true_negative,false_positive,false_negative,sensitivity,specificity,precision,accuracy,error,f1,confusion_matrix,confusion_matrix_percentage,roc_curve
DenseNet121,,300.68244433403015,62.199904918670654,186,196,54,64,0.744,0.784,0.775,0.764,0.236,0.7591836734693876,"<a href=""./images/a0c052a9-4c45-11ec-a5d0-68f728e1134a.png""><img src=""./images/a0c052a9-4c45-11ec-a5d0-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/a0dcc52a-4c45-11ec-9808-68f728e1134a.png""><img src=""./images/a0dcc52a-4c45-11ec-9808-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/a0ee5f5b-4c45-11ec-82f6-68f728e1134a.png""><img src=""./images/a0ee5f5b-4c45-11ec-82f6-68f728e1134a.png"" width=200 height=200 /></a>"
DiscreteNBC,DiscreteNBC,551.1996922492981,276.69599986076355,200,170,80,50,0.8,0.68,0.7142857142857143,0.74,0.26,0.7547169811320756,"<a href=""./images/7fac05ff-4c2a-11ec-ba14-68f728e1134a.png""><img src=""./images/7fac05ff-4c2a-11ec-ba14-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/7fc9b204-4c2a-11ec-9aec-68f728e1134a.png""><img src=""./images/7fc9b204-4c2a-11ec-9aec-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/7f80fd2c-4c2a-11ec-a5b3-68f728e1134a.png""><img src=""./images/7f80fd2c-4c2a-11ec-a5b3-68f728e1134a.png"" width=200 height=200 /></a>"
ResNet101,,511.98844146728516,101.68502926826477,162,232,18,88,0.648,0.928,0.9,0.788,0.21199999999999997,0.7534883720930233,"<a href=""./images/308cf380-4c56-11ec-aee9-68f728e1134a.png""><img src=""./images/308cf380-4c56-11ec-aee9-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/30ad8701-4c56-11ec-ae46-68f728e1134a.png""><img src=""./images/30ad8701-4c56-11ec-ae46-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/30c14e6f-4c56-11ec-acc0-68f728e1134a.png""><img src=""./images/30c14e6f-4c56-11ec-acc0-68f728e1134a.png"" width=200 height=200 /></a>"
MobileNetV2,,89.8866593837738,17.920395374298096,219,137,113,31,0.876,0.548,0.6596385542168675,0.712,0.28800000000000003,0.7525773195876287,"<a href=""./images/5a307d19-4c54-11ec-9789-68f728e1134a.png""><img src=""./images/5a307d19-4c54-11ec-9789-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/5a4d9a30-4c54-11ec-8ae2-68f728e1134a.png""><img src=""./images/5a4d9a30-4c54-11ec-8ae2-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/5a5ff011-4c54-11ec-8921-68f728e1134a.png""><img src=""./images/5a5ff011-4c54-11ec-8921-68f728e1134a.png"" width=200 height=200 /></a>"
MobileNet,,91.04731559753418,16.96526074409485,219,136,114,31,0.876,0.544,0.6576576576576577,0.71,0.29000000000000004,0.751286449399657,"<a href=""./images/18849d6d-4c54-11ec-b90d-68f728e1134a.png""><img src=""./images/18849d6d-4c54-11ec-b90d-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/18a24605-4c54-11ec-b36c-68f728e1134a.png""><img src=""./images/18a24605-4c54-11ec-b36c-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/18b4dafe-4c54-11ec-a19e-68f728e1134a.png""><img src=""./images/18b4dafe-4c54-11ec-a19e-68f728e1134a.png"" width=200 height=200 /></a>"
InceptionV3,,199.71431016921997,36.05358839035034,246,88,162,4,0.984,0.352,0.6029411764705882,0.668,0.33199999999999996,0.7477203647416412,"<a href=""./images/d735c118-4c53-11ec-864a-68f728e1134a.png""><img src=""./images/d735c118-4c53-11ec-864a-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/d7508eda-4c53-11ec-8fe5-68f728e1134a.png""><img src=""./images/d7508eda-4c53-11ec-8fe5-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/d7625f21-4c53-11ec-9a0d-68f728e1134a.png""><img src=""./images/d7625f21-4c53-11ec-9a0d-68f728e1134a.png"" width=200 height=200 /></a>"
GaussianNBC,Gaussian Naive Bayes (GaussianNB),8.376614093780518,4.731533050537109,206,154,96,44,0.824,0.616,0.6821192052980133,0.72,0.28,0.7463768115942029,"<a href=""./images/94a56ffa-4c2a-11ec-8c80-68f728e1134a.png""><img src=""./images/94a56ffa-4c2a-11ec-8c80-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/94ce2321-4c2a-11ec-af07-68f728e1134a.png""><img src=""./images/94ce2321-4c2a-11ec-af07-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/94802b85-4c2a-11ec-8c49-68f728e1134a.png""><img src=""./images/94802b85-4c2a-11ec-8c49-68f728e1134a.png"" width=200 height=200 /></a>"
MobileNetV3Small,,46.06242632865906,9.662746667861938,241,88,162,9,0.964,0.352,0.598014888337469,0.658,0.34199999999999997,0.7381316998468606,"<a href=""./images/bf1e6090-4c54-11ec-bc47-68f728e1134a.png""><img src=""./images/bf1e6090-4c54-11ec-bc47-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/bf3c1a29-4c54-11ec-8e9b-68f728e1134a.png""><img src=""./images/bf3c1a29-4c54-11ec-8e9b-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/bf4d599c-4c54-11ec-8126-68f728e1134a.png""><img src=""./images/bf4d599c-4c54-11ec-8126-68f728e1134a.png"" width=200 height=200 /></a>"
DenseNet169,,382.0494935512543,74.37989687919617,196,160,90,54,0.784,0.64,0.6853146853146853,0.712,0.28800000000000003,0.7313432835820896,"<a href=""./images/b4cb86f1-4c46-11ec-9d8f-68f728e1134a.png""><img src=""./images/b4cb86f1-4c46-11ec-9d8f-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/b4e78c0a-4c46-11ec-93ee-68f728e1134a.png""><img src=""./images/b4e78c0a-4c46-11ec-93ee-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/b4f9064b-4c46-11ec-98d4-68f728e1134a.png""><img src=""./images/b4f9064b-4c46-11ec-98d4-68f728e1134a.png"" width=200 height=200 /></a>"
VGG16,,752.5727174282074,148.61484742164612,178,191,59,72,0.712,0.764,0.7510548523206751,0.738,0.262,0.7310061601642711,"<a href=""./images/43d6d222-4c5f-11ec-9c48-68f728e1134a.png""><img src=""./images/43d6d222-4c5f-11ec-9c48-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/43f369c8-4c5f-11ec-9727-68f728e1134a.png""><img src=""./images/43f369c8-4c5f-11ec-9727-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/44052d2e-4c5f-11ec-ac67-68f728e1134a.png""><img src=""./images/44052d2e-4c5f-11ec-ac67-68f728e1134a.png"" width=200 height=200 /></a>"
VGG19,,923.4869420528412,183.2863757610321,159,212,38,91,0.636,0.848,0.8071065989847716,0.742,0.258,0.7114093959731543,"<a href=""./images/d883bd0b-4c61-11ec-8aa3-68f728e1134a.png""><img src=""./images/d883bd0b-4c61-11ec-8aa3-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/d8a2588c-4c61-11ec-a729-68f728e1134a.png""><img src=""./images/d8a2588c-4c61-11ec-a729-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/d8b54a68-4c61-11ec-9776-68f728e1134a.png""><img src=""./images/d8b54a68-4c61-11ec-9776-68f728e1134a.png"" width=200 height=200 /></a>"
MultinomialNBC,Naive Bayes classifier for multinomial models,4.349417209625244,0.8938403129577637,192,136,114,58,0.768,0.544,0.6274509803921569,0.656,0.344,0.6906474820143885,"<a href=""./images/98b9cdee-4c2a-11ec-bbdb-68f728e1134a.png""><img src=""./images/98b9cdee-4c2a-11ec-bbdb-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/98d5bf55-4c2a-11ec-845d-68f728e1134a.png""><img src=""./images/98d5bf55-4c2a-11ec-845d-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/9894bcc5-4c2a-11ec-81e6-68f728e1134a.png""><img src=""./images/9894bcc5-4c2a-11ec-81e6-68f728e1134a.png"" width=200 height=200 /></a>"
ComplementNBC,The Complement Naive Bayes classifier described in Rennie et al,4.389904737472534,0.8946025371551514,192,136,114,58,0.768,0.544,0.6274509803921569,0.656,0.344,0.6906474820143885,"<a href=""./images/89b06d4b-4c2a-11ec-ac88-68f728e1134a.png""><img src=""./images/89b06d4b-4c2a-11ec-ac88-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/89cd3fa3-4c2a-11ec-8a1f-68f728e1134a.png""><img src=""./images/89cd3fa3-4c2a-11ec-8a1f-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/898b6ae3-4c2a-11ec-82c5-68f728e1134a.png""><img src=""./images/898b6ae3-4c2a-11ec-82c5-68f728e1134a.png"" width=200 height=200 /></a>"
ResNet50V2,,262.6599054336548,50.76025629043579,250,3,247,0,1.0,0.012,0.5030181086519114,0.506,0.494,0.6693440428380187,"<a href=""./images/29d8e4f1-4c5d-11ec-bdf8-68f728e1134a.png""><img src=""./images/29d8e4f1-4c5d-11ec-bdf8-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/29f5d449-4c5d-11ec-a1e3-68f728e1134a.png""><img src=""./images/29f5d449-4c5d-11ec-a1e3-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/2a082c38-4c5d-11ec-b385-68f728e1134a.png""><img src=""./images/2a082c38-4c5d-11ec-b385-68f728e1134a.png"" width=200 height=200 /></a>"
ResNet101V2,,467.33076906204224,93.15646386146545,250,0,250,0,1.0,0.0,0.5,0.5,0.5,0.6666666666666666,"<a href=""./images/821cff1a-4c57-11ec-a3a0-68f728e1134a.png""><img src=""./images/821cff1a-4c57-11ec-a3a0-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/8239a95e-4c57-11ec-ae3b-68f728e1134a.png""><img src=""./images/8239a95e-4c57-11ec-ae3b-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/824c15c9-4c57-11ec-89d1-68f728e1134a.png""><img src=""./images/824c15c9-4c57-11ec-89d1-68f728e1134a.png"" width=200 height=200 /></a>"
BernoulliNBC,Naive Bayes classifier for multivariate Bernoulli models,5.958054542541504,1.540271282196045,203,71,179,47,0.812,0.284,0.5314136125654451,0.548,0.45199999999999996,0.6424050632911393,"<a href=""./images/85adcbc4-4c2a-11ec-b309-68f728e1134a.png""><img src=""./images/85adcbc4-4c2a-11ec-b309-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/85ce6033-4c2a-11ec-aee5-68f728e1134a.png""><img src=""./images/85ce6033-4c2a-11ec-aee5-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/85891fcd-4c2a-11ec-a2ba-68f728e1134a.png""><img src=""./images/85891fcd-4c2a-11ec-a2ba-68f728e1134a.png"" width=200 height=200 /></a>"
InceptionResNetV2,,421.4216227531433,80.6072907447815,155,140,110,95,0.62,0.56,0.5849056603773585,0.59,0.41000000000000003,0.6019417475728155,"<a href=""./images/481c5fff-4c53-11ec-9bd8-68f728e1134a.png""><img src=""./images/481c5fff-4c53-11ec-9bd8-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/4838afaf-4c53-11ec-8c15-68f728e1134a.png""><img src=""./images/4838afaf-4c53-11ec-8c15-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/484ac088-4c53-11ec-a624-68f728e1134a.png""><img src=""./images/484ac088-4c53-11ec-a624-68f728e1134a.png"" width=200 height=200 /></a>"
Xception,,328.60126638412476,65.87113881111145,39,241,9,211,0.156,0.964,0.8125,0.56,0.43999999999999995,0.26174496644295303,"<a href=""./images/c571d9a7-4c62-11ec-952a-68f728e1134a.png""><img src=""./images/c571d9a7-4c62-11ec-952a-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/c58ca9e3-4c62-11ec-9c96-68f728e1134a.png""><img src=""./images/c58ca9e3-4c62-11ec-9c96-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/c59e0ca6-4c62-11ec-9ceb-68f728e1134a.png""><img src=""./images/c59e0ca6-4c62-11ec-9ceb-68f728e1134a.png"" width=200 height=200 /></a>"
ResNet152V2,,694.6328430175781,134.08066368103027,1,250,0,249,0.004,1.0,1.0,0.502,0.498,0.00796812749003984,"<a href=""./images/8c8c699b-4c5b-11ec-9fbf-68f728e1134a.png""><img src=""./images/8c8c699b-4c5b-11ec-9fbf-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/8ca95b89-4c5b-11ec-993c-68f728e1134a.png""><img src=""./images/8ca95b89-4c5b-11ec-993c-68f728e1134a.png"" width=200 height=200 /></a>","<a href=""./images/8cbb3c2b-4c5b-11ec-bdb3-68f728e1134a.png""><img src=""./images/8cbb3c2b-4c5b-11ec-bdb3-68f728e1134a.png"" width=200 height=200 /></a>"
